"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"107","19-21829",59,86,130.2,38,0.6,11.6,529.8,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTUrb22[Leaning]",30.57
"108","19-21846",60.5,83.7,131,38.7,0.9,13.3,504.5,"PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[lodging]; YTNeo22[lodging]",31.71
"109","19-21848",58.7,88.2,129.6,36.7,0.6,11.3,543.6,"PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]",20
"110","19-21865",59.3,82.3,129.4,37.2,0.9,14.4,505.5,"PrStj21[oats:Moderate]; PrUrb21[exclude_plot:true, rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[clean, ve]",34.93
"111","19-21924",59.8,83.6,130.7,40,0.9,11.4,507.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[tall]; YTUrb22[Looks weak]",32.01
"112","19-22105",59.5,83.4,129.4,38.7,0.7,12.2,516.6,"PrStj21[maturity:E obs:npt]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[lodging]; YTUrb22[Looks weak]; YTUrb22[Tall]",26.91
"113","19-22742",58.6,86.2,129.1,37.1,1.4,20.6,516.1,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTUrb22[Scab]",32.25
"114","19-22757",59.7,87.4,129.8,38,0.5,8.8,542.9,"PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[thick]; YTUrb22[ve, looks uneven]",32.65
"115","19-23251",58.7,85,130.9,38.7,0.7,14,515.2,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[ve, septoria]; YTNeo22[septoria]",34.03
"116","19-23336",58.7,85.8,131.3,38.2,0.8,9.6,520.1,"PrStj21[oats:Moderate]; PrUrb21[exclude_plot:true, rust:S]; PrUrb21[rust:MrMs]; YTNeo22[bad plot]; YTUrb22[Lodging]",28.78
"117","19-23350",58.7,86.8,131.4,37.7,1.2,23.5,508,"PrUrb21[rust:MrMs]; PrUrb21[rust:R]; YTNeo22[leaning]; YTNeo22[leaning, clean]; YTUrb22[Lodg]",33.63
"118","19-23833",59.7,85.3,132.2,38.4,0.9,16.3,506.2,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTNeo22[leaning]; YTUrb22[Lodging]; YTUrb22[Leaning]",35.45
"119","19-23855",58.9,82.3,130,38,0.5,7.6,512.7,"PrStj21[maturity:E]; PrStj21[obs:nice appearance]; PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTNeo22[tall, leaning]; YTUrb22[Ve, npt]; YTUrb22[Lodg]",29.03
"120","19-24051",59,78.4,132.3,36.4,0.8,10.7,472,"PrUrb21[exclude_plot:true, rust:S]; PrUrb21[rust:MrMs]; YTUrb22[Disease]",27.59
"121","19-24061",58.3,79.3,129,37.7,0.6,7.1,500.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTStp22[Some sterility]; YTUrb22[Leaning]; YTUrb22[Looks weak]",28.37
"122","19-24076",57.2,81.3,130.9,36.9,0.7,11.2,483.6,"PrStj21[maturity:VL]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[lodging]; YTUrb22[Tall]",0.13
"123","19-25126",59.5,89.1,131.7,38.6,0.7,10.8,536.2,"PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[tall, late]; YTNeo22[lodging]; YTUrb22[Tall]; YTUrb22[Lodging]",33.7
"124","19-25145",59.3,80.8,130,38.7,1.1,11.1,492.8,"PrStj21[obs:nice appearance]; PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[lodging]; YTUrb22[Lodging]",30.69
"125","19-25245",59.8,88.4,130.6,38,1,15.4,530.2,"PrUrb21[rust:S]; PrUrb21[rust:S]; YTNeo22[scab, rust]; YTUrb22[Looks weak]",30.32
"126","19-25464",58.6,86.2,132.2,38.3,1.3,21.3,500.3,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[thick]; YTNeo22[tall, clean, leaning]; YTUrb22[Tall]; YTUrb22[Tall]",32.99
"127","19-25469",59.2,82.7,129.9,38,0.7,16.1,506.9,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTUrb22[Lodging]; YTUrb22[Leaning]",32.66
"128","19-25743",60,82.6,131.8,38.1,0.6,8.5,502.7,"PrUrb21[exclude_plot:true, rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[tall]; YTNeo22[clean]; YTUrb22[Leaning]",33.82
"129","19-25764",58.8,84.5,129.3,38.4,0.9,16.5,517.1,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTNeo22[ve, clean]; YTUrb22[Leaning]",20
"130","19-26456",59.1,82.8,128.8,36.7,0.9,13.6,511.7,"PrStj21[maturity:E]; PrStj21[maturity:E obs:npt]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[ve, npt]; YTUrb22[Sea of heads]; YTUrb22[Scab, Sea of heads]",34.39
"131","19-26709",58.9,86.2,128.4,37.3,1,10.5,534.5,"PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[sept]; YTUrb22[Very very early]",34.22
"132","19-27466",58.3,85,131.3,37.3,1,14.1,508.3,"PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, leaning]; YTUrb22[Leaning]",34.77
"133","19-27478",59,86.2,131.7,37.8,0.8,11.4,517.8,"PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[lodging]; YTUrb22[Leaning]; YTUrb22[Looks weak]",32.8
"134","19-27565",60.2,90.1,131.3,39.6,0.7,8.9,546.5,"PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[tall]; YTNeo22[clean, tall]",31.12
"135","19-27944",59.6,77.6,129.5,37.2,0.7,7.5,486.5,"PrUrb21[exclude_plot:true, rust:MrMs]; PrUrb21[rust:R]; YTNeo22[clean]; YTNeo22[leaning, clean]; YTUrb22[Sea of heads]; YTUrb22[Looks a bit weak]",28.32
"136","19-3502",59.6,82.8,129.4,38.8,0.5,7.1,519.4,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[lodging]; YTUrb22[Tall]; YTUrb22[Tall]",22.74
"137","19-3505",59.2,80.7,129.7,39.2,0.7,8.1,502.2,"PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[lodging]; YTStp22[Tall, some sterility]; YTUrb22[Leaning]; YTUrb22[Lodging]",19.56
"138","19-3510",59.3,84.2,130.3,40.3,0.4,4.7,526.5,"PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, leaning]; YTNeo22[tall, leaning]; YTUrb22[Tall]; YTUrb22[Lodg]",17.88
"139","19-3528",59.1,86.7,130.3,39.5,0.6,8.4,534.6,"PrStj21[maturity:E]; PrStj21[oats:Moderate]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, lodging]; YTUrb22[Lodging]; YTUrb22[Leaning]",27.33
"140","19-3538",57.8,83.6,129.3,37.8,0.8,13.3,513.3,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[clean]; YTNeo22[tall, clean]; YTUrb22[Tall]; YTUrb22[Lodging]",33.2
"141","19-3943",57.4,86,131.8,38.8,0.6,14.6,507.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[bad plot]; YTNeo22[lodg]; YTStp22[Tall, looks weak]; YTUrb22[Lodging]; YTUrb22[Leaning]",32.63
"142","19-4014",58.1,84.6,129.6,38.3,0.5,10,526.3,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[lodging, tall]; YTUrb22[Tall]; YTUrb22[Tall]",29.73
"143","19-4151",59.3,85.3,129.9,38.6,0.8,10.4,523.8,"PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[ve, tall]; YTUrb22[Tall]",32.83
"144","19-4176",58.9,84.7,130.5,39,1,16.3,508.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[septoria, tall]; YTUrb22[Tall]; YTUrb22[Tall]",32.36
"145","19-4238",58.8,80.8,130.1,38.2,0.8,11.1,496.9,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[tall]; YTUrb22[Lodg]; YTUrb22[Tall]",33.03
"146","19-5009",59.5,78.2,129.7,39,0.8,10,484.5,"PrStj21[maturity:E]; PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[tall, clean]; YTUrb22[Leaning]; YTUrb22[Tall]",30.1
"147","19-5041",59.4,80.6,128.3,39.1,1.2,11.7,499.2,"PrStj21[maturity:E obs:nice appearance]; PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTNeo22[lodging]; YTUrb22[Leaning]; YTUrb22[Leaning]",31.23
"148","19-5122",59.6,88.4,131.4,37.7,1.2,15.7,522.6,"PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:R]; YTNeo22[tall]; YTUrb22[Leaning]; YTUrb22[Leaning]",34.35
"149","19-5152",58.6,85.4,131.7,38.4,1,14.9,508.8,"PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTUrb22[Tall]",31.99
"150","19-5466",59.3,89.6,129.8,36.2,1.4,21.8,529.4,"PrUrb21[exclude_plot:true, rust:MrMs]; PrUrb21[rust:MrMs]; YTUrb22[Leaning]",34.91
"151","19-5632",59,85.9,129.2,36.9,1.4,26.3,508.9,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[ve, septoria]; YTNeo22[leaning]; YTStp22[Mix]; YTUrb22[ve, npt]; YTUrb22[Leaning]",33.69
"152","19-6308",60.2,83,130.9,37.6,0.8,11.9,503.4,"PrUrb21[rust:S]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[septoria]; YTNeo22[ve, clean, tall]; YTStp22[Thick]; YTUrb22[Lodg]",30.72
"153","19-6637",59.7,89.1,131,37.3,1.2,15.6,528.7,"PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[clean]; YTNeo22[late]",34.43
"154","19-6704",57.4,86.7,129.4,38.5,0.6,13.1,525.9,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[clean, tall]; YTUrb22[Tall]; YTUrb22[Tall]",30.38
"155","19-6946",58.5,87.9,129.2,37.8,1.1,20,529.5,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[tall, sept]; YTNeo22[septoria]",32.84
"156","19-8449",58.8,84.7,130.4,38.3,1.3,15.4,505.5,"PrStj21[maturity:L  oats:Moderate]; PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[scab,tall]; YTNeo22[clean]; YTUrb22[Tall]",29.64
"157","19-8870",59.4,85.7,131.2,37.8,0.8,11.8,518.7,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[tall]; YTNeo22[leaning]",33.21
"158","19-8871",58.8,87.8,131.5,38.3,1,13.8,523.6,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[late]; YTNeo22[leaning, late]; YTUrb22[Tall]",29.55
"159","19-8909",59.4,83.5,131.1,37.4,0.9,13.7,503.9,"PrUrb21[rust:MrMs]; PrUrb21[rust:R]; YTNeo22[scab]; YTUrb22[Npt]",31.15
"160","19-9608",59.3,85.1,130.6,38.1,1.8,26,490.6,"PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[clean]; YTUrb22[Lodging]",32.92
"161","Kaskaskia",59.4,78.6,134.1,41.1,2.1,32.3,428.2,"AdvNeo20[lost]; AdvUrb21[rust:MrMs]; AdvUrb21[rust:S]; DHUrb21[mixture:Mixed exclude_plot:true]; PrStj21[FHB:S]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]",NA
"162","Pio 25R74",57.8,91.6,132.3,34,2,37,500.7,"AdvUrb21[rust:R]; AdvUrb21[rust:R]; PrUrb21[rust:R]; PrUrb21[rust:R]",NA
"163","US16-IL-061-032",58.8,80,130.6,38.8,1.4,20.1,474.9,"AdvStj21[mixture:Mixed]; AdvUrb21[rust:MrMs]; AdvUrb21[rust:S]; YTNeo22[thin, septoria]; YTNeo22[tall]; YTUrb22[Leaning]",NA
"164","US16-IL-061-068",58.8,82.9,128.2,38.7,1.2,12.6,511.9,"AdvStj21[mixture:Mixed]; AdvStj21[mixture:Mixed]; AdvUrb21[rust:S]; AdvUrb21[rust:S]; PrCar20[VE]; YTNeo22[septoria, tall, ugly]; YTNeo22[septoria, tall]; YTUrb22[Tall]; YTUrb22[Ve, tall, leaning]",NA
"165","US16-IL-063-026",60,87.1,129.4,38.2,1,14.4,530.9,"AdvUrb21[rust:S]; AdvUrb21[rust:S]; YTNeo22[tall, lodging]; YTNeo22[ve, tall, clean]; YTUrb22[A bit tall]",NA
"166","US16-IL-063-063",58.6,89.3,129.6,35,1.4,18.2,532.4,"AdvUrb21[rust:S]; AdvUrb21[rust:MrMs]; YTNeo22[npt, clean]; YTStp22[Npt, looks good]; YTUrb22[Ve, npt]; YTUrb22[Npt]",NA
"167","US17-IL-108-039",58.8,90.9,133.4,36.7,1.7,22.1,511.8,"AdvStj21[obs:npt]; AdvStj21[obs:npt]; AdvUrb21[rust:S]; AdvUrb21[rust:S]; YTNeo22[scab]; YTNeo22[late, leaning a bit]; YTStp22[Npt]; YTUrb22[Leaning]; YTUrb22[Lodg]",NA
"168","US17-IL-108-067-3",58.6,82.8,130.2,36.6,1.6,25.8,485.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[lodging]; YTStp22[Lodg]; YTUrb22[Leaning]; YTUrb22[Mix]",33.17
"169","US17-IL-108-070",59.6,90.6,132.6,37.7,1.1,17.3,527.6,"AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; YTNeo22[lodging]; YTNeo22[leaning]; YTUrb22[Looks good, a bit tall]; YTUrb22[Lodg]",NA
"170","US17-IL-111-005",58,83.5,130,37.3,0.8,14.2,511.1,"AdvUrb21[rust:S]; AdvUrb21[rust:MrMs]; YTNeo22[clean]",NA
"171","US17-IL-111-006",59.1,83.7,129.1,36.6,1,14.2,513.9,"AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; YTUrb22[Ve, npt]; YTUrb22[Ve, looks strong]",NA
