"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"24","18-4910",59.9,79.5,130.8,36.5,0.5,6.8,492.1,"AdvStj21[obs:npt]; AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[leaf rust]; YTUrb22[Npt, erect plant type]; YTUrb22[Small heads]",NA
"25","18-5737",58.7,81.6,130.7,37.9,0.7,14.1,497.6,"AdvUrb21[rust:S mixture:Mixed]; AdvUrb21[rust:S mixture:Mixed]; YTNeo22[tall]; YTNeo22[septoria]; YTUrb22[Tall]; YTUrb22[Tall]",NA
"26","18-5837",60,82.5,130.5,37.8,0.7,11.9,505.1,"AdvStj21[mixture:Mixed]; AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; YTNeo22[thick]; YTUrb22[Tall]",NA
"27","18-6274",60.4,90.8,129.4,38.9,1.1,13.6,550.3,"AdvStj21[mixture:Mixed]; AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; YTNeo22[clean]; YTNeo22[clean]; YTUrb22[Tall]; YTUrb22[Lodging]",NA
"28","18-6852",58.6,93,129.4,36,1.3,16.5,555.3,"AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[npt, scab]; YTNeo22[clean, npt]; YTUrb22[Npt]; YTUrb22[Npt]",NA
"29","18-7928",59.4,84.8,129.9,35.8,0.9,13.2,517.5,"AdvUrb21[rust:R]; AdvUrb21[exclude_plot:true, rust:]; YTNeo22[clean]; YTStp22[Thick]; YTUrb22[Npt]; YTUrb22[Npt, some leaf rust]",NA
"30","18-7943",59.1,77.6,129.4,35.9,1.2,19,471.8,"AdvStj21[obs:npt]; AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[late, scab]; YTNeo22[npt, early, pretty clean]; YTStp22[Npt]; YTUrb22[Npt]; YTUrb22[Npt]",NA
"31","18-842",58.6,86.8,130,38.2,0.7,11.3,532.2,"AdvUrb21[rust:MrMs]; AdvUrb21[rust:MrMs]; PrCar20[VVE]; YTNeo22[tall, clean]; YTNeo22[tall, sept, ve]",NA
"32","18-9724",59.8,83.5,130.4,36.7,1.1,13.6,503.6,"AdvStj21[obs:npt]; AdvUrb21[rust:R]; AdvUrb21[rust:R]; YTNeo22[ve]; YTNeo22[ugly]; YTUrb22[Npt]; YTUrb22[Lodging]",NA
"33","18MSFRS-18",59.5,92.9,132.3,37.3,0.9,11.2,550.5,"AdvStj21[obs:npt]; AdvStj21[obs:npt]; AdvUrb21[rust:R]; AdvUrb21[rust:R]; PrCar20[Sprayer damage , sprayer]; YTNeo22[clean, npt, thick]; YTNeo22[clean]; YTUrb22[Looks awesome, not short, not tall]; YTUrb22[Looks good]",NA
"34","19-10123",58.8,86.7,128.7,37.7,0.6,10.5,540.9,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[septoria, leaning]; YTUrb22[Leaning]",32.5
"35","19-10136",60.1,82,130.8,38,0.9,13.8,497.2,"PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[ve, clean]; YTNeo22[npt, clean]; YTUrb22[Leaning]",31.36
"36","19-10142",59.9,83,130.8,36.6,0.8,9,506.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTUrb22[Npt, early]",32.23
"37","19-10151",60.2,85.1,131.2,38,0.9,11.5,513.2,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[clean]; YTUrb22[A bit weak]; YTUrb22[Looks weak]",31.49
"38","19-10168",60.2,83.1,132.1,38.3,0.9,12.5,496.1,"PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]",32.15
"39","19-10173",60.3,82,130.5,38.7,0.8,11.5,500.1,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTNeo22[leaning]; YTUrb22[Short]",31.2
"40","19-10236",59.8,78.3,130,38.2,0.6,8.4,487.3,"PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTNeo22[clean, tall]; YTUrb22[A bit tall]",31.65
