"","germplasmName","Lex_22","War_22","Add_22","Msn_22","Urb_21","Neo_21","Blk_22","Stj_21","Blv_22","Stp_22","Neo_22","Urb_22","AvgYld"
"51","19-13414",74.81,78.8,76.61,86.68,86.24,87.92,89.12,91.78,91.37,97.57,103.76,104.65,89.1091666666667
"52","19-13434",64.58,67.21,73.33,78.7,81.14,80.79,82.53,86.74,84.46,88.73,95.74,97.49,81.7866666666667
"53","19-13447",64.54,58.37,72.49,73.57,84.24,86.33,89.17,86.66,88.45,97.02,100.18,103.69,83.7258333333333
"54","19-13451",65.05,75.67,72.35,78.57,82.34,81.48,82.02,86.35,87.61,91.61,96.13,97.82,83.0833333333333
"55","19-13706",67.83,60.93,74.4,84.7,82.24,82.4,78.46,86.75,95.44,89.76,94.02,94.08,82.5841666666667
"56","19-13707",65.2,59.91,73.83,83.21,79.76,81.38,82.59,84.84,93.71,87.99,91.63,90.7,81.2291666666667
"57","19-13713",71.84,68.63,75.72,89.24,84.17,81.05,82.91,88.51,86.13,90.58,96.11,95.21,84.175
"58","19-13748",63.95,61.16,73.43,82.37,80.27,80.9,79.21,83.59,86.06,84.93,89.79,90.41,79.6725
"59","19-13752",69.42,64.91,74.86,88.95,82.38,83.18,77.96,86.23,82.06,87.1,92.55,90.56,81.68
"60","19-13778",62.04,65.62,71.46,79.57,79.87,78.9,77.8,84.06,86.29,86.94,89.65,90.19,79.3658333333333
"61","19-13936",63.75,65.6,72.72,75.42,82.37,83.35,80.54,85.14,89.84,92.94,98.13,99.87,82.4725
"62","19-13942",74.32,71.98,76.45,90.04,85.48,83.58,83.63,89.72,95,92.15,99.8,99.2,86.7791666666667
"63","19-13961",61.21,71.77,70.44,69.29,82.76,84.36,86.61,85.6,87.41,97.05,99.61,103.4,83.2925
"64","19-13978",69.8,66.34,74.42,79.97,85.78,84.52,84.74,91.33,78.67,97.31,102.88,104.98,85.0616666666667
"65","19-14605",68.58,64.01,75.7,80.68,84.35,84.45,82.93,87.19,92.19,95.17,99.64,101.74,84.7191666666667
"66","19-14617",72.19,67.89,74.84,84.48,85.28,87.66,84,91.29,87.74,97.27,102.58,101.96,86.4316666666667
"67","19-14845",72.57,66.26,75.57,87.77,85,86.27,86.23,87.1,94.85,92.29,100.21,98.25,86.0308333333333
"68","19-14856",86,73.43,79.42,102.46,89.71,90.77,84.91,95.69,104.04,96.37,107.47,102.57,92.7366666666667
"69","19-14933",75.95,68.6,77.15,91.37,86.33,84.85,89.22,89.87,88.93,94.4,101.64,99.5,87.3175
"70","19-15017",68.54,68.84,74.66,83.87,83.17,83.28,80.44,85.58,88.68,92.06,97.53,96.08,83.5608333333333
"71","19-15327",74.12,71.77,76.13,88.37,85.61,87.1,81.36,91.61,91.04,94.65,100.74,100.91,86.9508333333333
"72","19-15330",70.34,71.82,75.09,83.08,85.11,84.93,84.34,89.03,86.46,94.31,99.76,101.68,85.4958333333333
"73","19-16129",69.62,70.28,73.79,78.64,85.81,85.13,88.99,90.4,89.74,99.01,104.1,106.19,86.8083333333333
"74","19-16136",79.37,73,77.47,90.24,89.26,88.05,92.62,94.83,92.28,101.27,107.96,107.85,91.1833333333333
"75","19-16142",64.61,66.2,70.76,76.16,82.86,83.95,85.66,87.3,88.14,92.11,99.12,100.17,83.0866666666667
"76","19-16152",69.37,72.95,75.14,80.14,85.26,84.52,89.43,88.99,76.21,97.96,101.48,103.4,85.4041666666667
"77","19-16176",75.19,76.62,76.14,90.52,85.91,83.69,90.49,90.93,86.35,93.7,100.54,99.61,87.4741666666667
"78","19-16279",60.75,66.9,72.17,72,81.73,85.69,85.49,83.72,81.08,93.38,94.08,99,81.3325
"79","19-16325",68.21,68.56,74.16,83.99,83.62,83.46,83.56,86.63,86.99,90.82,94.42,95.95,83.3641666666667
"80","19-16368",70.33,73.85,74.93,83.62,84.5,83.54,87.54,89.14,86.55,92.68,99.41,101.1,85.5991666666667
"81","19-16856",68.56,68.96,73.27,79.84,84.84,84.03,91.51,88.83,88.33,96.36,100.42,102.17,85.5933333333333
"82","19-17051",69.4,59.18,75.52,84.37,84.08,84.63,84.46,87.36,86.27,93.34,96.54,97.26,83.5341666666667
"83","19-17467",61.86,53.78,71.92,72.82,82.47,85.81,83.47,84.49,83.08,96.34,96.82,98.62,80.9566666666667
"84","19-17546",67.42,70,73.61,81.92,82.84,86.32,83.39,86.5,92.95,91.43,95.95,97.26,84.1325
"85","19-17662",72.61,69.83,76.18,84.83,86.24,86.87,89.02,88.95,89.49,96.1,101.98,103.13,87.1025
"86","19-17823",71.76,73.94,75.86,87.5,84.86,84.4,84.6,87.84,87.19,92.41,97.03,97.61,85.4166666666667
"87","19-18152",68.66,56.72,75.64,81.53,84.44,82.93,85.29,87,88.41,92.35,99.47,101.08,83.6266666666667
"88","19-18153",76.31,74.11,76.17,89.28,86.83,89.15,85.53,92.46,92.88,96.84,104.36,103.3,88.935
"89","19-18156",71.53,69.33,74.74,83.26,85.52,87.19,90.01,89.47,91.15,95.79,102.47,103.08,86.9616666666667
"90","19-18157",66.47,68.96,73.64,79.99,82.78,83.54,85.44,86.71,89.89,93.97,96.3,97.92,83.8008333333333
"91","19-18725",66.9,85.62,72.29,75.31,85.45,88.2,82.43,87.99,83.16,99.9,102.5,105.27,86.2516666666667
"92","19-18826",73.6,71.92,75.74,85.12,86.24,85.39,93.21,90.87,91.9,99.2,103.82,103.8,88.4008333333333
"93","19-18832",60.25,72.26,70.19,73.57,80.7,81.58,80.25,85.43,79.7,91.07,92.18,95.55,80.2275
"94","19-18837",74.59,62.58,74.74,87.36,85.9,87.34,90.39,92.77,99.64,95.8,103.76,102.73,88.1333333333333
"95","19-18957",67.64,66.52,75.22,84.64,82.55,83.77,81.74,84.83,83.47,89.41,93.32,93.75,82.2383333333333
"96","19-19146",69.04,67.67,74.89,81.85,83.44,84.48,82.16,89.88,85.59,93.14,99.76,101.08,84.415
"97","19-19159",60.71,64.63,70.61,74.74,79.67,81.94,79.34,84.34,87.29,86.5,94.4,95.38,79.9625
"98","19-19205",65.91,68.37,72.26,76.72,83.62,85.57,84.52,87.99,91.8,97.5,99.19,101.13,84.5483333333333
"99","19-20069",63.7,70.42,72.35,76.4,81.89,83.3,81.15,86.25,90.34,92.17,95.44,98.54,82.6625
"100","19-20348",79.99,79.13,79.02,93.13,87.75,88.5,90.58,93.75,89.14,98.59,106.25,104.95,90.8983333333333
"101","19-20402",68.29,62.16,73.78,77.98,84.76,87.94,83.8,88.86,90.16,96.51,103.47,104.62,85.1941666666667
"102","19-20648",62.26,66,72.64,73.77,81.66,84,86.08,84.66,89.09,94.64,95.5,98.99,82.4408333333333
"103","19-21467",69.38,66.03,73.31,79.32,85.69,88.95,87.24,90.05,86.55,97.99,102.53,104.3,85.945
"104","19-21574",60.01,67.47,70.52,73.87,80.22,81.46,75.46,84.37,77.35,89.08,93.32,94.72,78.9875
"105","19-21760",69.78,75.42,73.62,80.9,85.4,87.38,88.2,89.71,91.77,97.14,100.29,103.15,86.8966666666667
"106","19-21821",65.96,71.99,73.25,75.03,84.13,85.82,84.88,88.77,93.96,97.44,100.03,105.09,85.5291666666667
"107","19-21829",61.07,74.13,70.71,68.38,83.19,85.29,87.24,85.39,89.85,95.42,99.55,105.58,83.8166666666667
"108","19-21846",68.76,75.37,75.75,84.29,82.49,81.02,80.9,88.06,86.36,92.65,95.54,96.69,83.99
"109","19-21848",69.97,71.97,72.93,78.87,86.76,87.57,88.04,89.49,96.78,98.06,104.13,106.69,87.605
"110","19-21865",61.32,65.03,72.13,72.08,82.13,82.33,83.37,84.57,90.02,92.17,95.8,100.93,81.8233333333333
"111","19-21924",66.14,70.02,73.16,78.53,83.04,82.39,80.12,87.42,87.58,94.37,98.66,99.6,83.4191666666667
"112","19-22105",65.05,67.99,72.16,77.66,82.32,85.57,86.57,85.33,90.18,92.59,97.97,98.35,83.4783333333333
"113","19-22742",62.51,61.24,72.26,67.9,84.52,86.47,83.55,85.99,94.09,101.41,103.45,108.05,84.2866666666667
"114","19-22757",73.64,81.78,75.39,88.23,85.11,85.72,86.08,90.83,85.43,94.45,100.34,99.75,87.2291666666667
"115","19-23251",68.18,68.53,74.69,81.22,84.41,86.03,87.13,85.69,93.68,93.63,97.35,99.97,85.0425
"116","19-23336",65.28,73.04,73.3,77.07,82.74,85.67,84.39,86.85,91.67,94.64,96.64,100.4,84.3075
"117","19-23350",73.49,65.37,75.63,84.72,86.61,88.47,89.77,91.77,90.16,96.97,103.61,105.01,87.6316666666667
"118","19-23833",70.73,65.09,74.68,81.54,85.27,88.26,86.36,91.25,86.05,96.39,102.62,104.31,86.0458333333333
"119","19-23855",65.33,68.73,72.82,79.43,81.8,83.12,83.66,86.53,86.77,90.95,95.87,96.89,82.6583333333333
"120","19-24051",57.84,45.06,69.69,66.09,82.27,84.81,82.61,84.72,86.63,96.24,96.62,101.5,79.5066666666667
"121","19-24061",58.76,49.33,70.32,67.92,82.19,83.33,86.24,83.95,80.77,94.59,97.03,100.67,79.5916666666667
"122","19-24076",62.03,52.16,70.79,72.45,82.34,86.59,86.74,86.82,90.69,94.64,96.77,100.28,81.8583333333333
"123","19-25126",76.33,78.47,77.19,89.23,86.54,86.21,91.25,92.13,92.68,99.2,103.54,103.16,89.6608333333333
"124","19-25145",62.34,64.44,72.73,76.82,80.31,83.65,81.68,86,84.18,90.56,91.7,95.13,80.795
"125","19-25245",71.67,75.22,75.61,81.84,85.99,86.23,87.12,90.04,92.59,98.01,103.9,105.92,87.845
"126","19-25464",69.76,69.48,72.49,80.78,85.83,86.2,90.91,90.52,90,96.71,100.9,103.09,86.3891666666667
"127","19-25469",68.2,62.86,73.76,81.71,84.02,85.54,86.85,85.99,87.47,95.35,98.85,97.7,84.025
"128","19-25743",63.77,72.92,72.08,76.76,82.17,82.8,84.05,85.24,83.25,90.76,95.86,98.1,82.3133333333333
"129","19-25764",62.77,72.63,72.03,74.01,82.35,85.68,80.74,83.29,88.78,93.71,97.81,99.49,82.7741666666667
"130","19-26456",58.27,71.9,68.21,67.3,81.98,83.3,89.52,83.03,82.99,93.05,96.85,100.7,81.425
"131","19-26709",75.52,72.27,76.88,89.7,86.78,84.53,87.18,90.81,86.13,94.32,102.41,101.85,87.365
"132","19-27466",70.67,71.53,74.49,82.26,85.22,83.2,88.27,90.72,69.76,95,103.51,103.01,84.8033333333333
"133","19-27478",68.72,79.66,74.71,80.9,84.16,83.72,81.25,88.09,87.38,94.17,99.88,101.93,85.3808333333333
"134","19-27565",81.63,79.94,78.52,96.6,88.18,86.95,94.48,94.33,90.59,97.99,105.09,102.54,91.4033333333333
"135","19-27944",56.33,65.1,69.75,70.91,78.13,78.61,76.37,82.32,85.02,86.85,89.26,92.43,77.59
"136","19-3502",71.9,74.25,76.16,89.88,83.47,79.09,84.28,86.6,87.38,90.55,96.93,93.93,84.535
"137","19-3505",66.26,69.6,72.75,82.44,81.92,83.11,78.4,86.35,80.68,88.03,94.98,94.32,81.57
"138","19-3510",67.99,70.97,74.88,81.99,82.48,85.31,83.55,87.01,90.92,93.49,97.42,98.04,84.5041666666667
"139","19-3528",74.4,74.34,76.82,89.21,85.35,85.38,88.73,90.04,92.37,94.47,100.21,100.1,87.6183333333333
"140","19-3538",62.71,60.22,71.45,71.05,84.02,87.03,87.45,85.72,83.35,96.2,100.05,103.93,82.765
"141","19-3943",70.22,70.06,73.35,81.41,86.57,87.29,84.78,92.23,76.89,96.73,99.8,103.62,85.2458333333333
"142","19-4014",70.59,65.41,73.64,83.01,85.43,86.16,80.93,89.68,90.19,94.23,101.97,101.7,85.245
"143","19-4151",72.17,63.08,75.47,85.2,85.63,86.18,89.57,88.67,94.3,96.23,101.39,101.01,86.575
"144","19-4176",66.35,65.4,73.02,77.7,83.75,87.73,89.26,87.29,90.52,95.37,97.97,101.08,84.62
"145","19-4238",60.57,58.95,70.99,71.34,81.19,83,79,86.1,83.37,94.46,96.88,99.06,80.4091666666667
"146","19-5009",53.14,62.98,67.09,64.78,78.46,80.76,77.95,80.32,87.21,91.25,90.99,93.74,77.3891666666667
"147","19-5041",61.46,68.77,70.78,75.59,81.07,79.51,84.14,84.16,87.3,91.02,92.71,94.67,80.9316666666667
"148","19-5122",70.06,75.73,74.01,79.38,85.9,86.89,88.33,90.9,84.32,98.58,103.37,106.11,86.965
"149","19-5152",73.5,63.12,76.5,86.94,85.62,86.29,86.81,90.72,91.16,96.6,101.44,101.26,86.6633333333333
"150","19-5466",75.8,80.44,76.18,87.82,87.38,85.19,84.73,92.08,90.86,98.67,105.18,104.55,89.0733333333333
"151","19-5632",71.16,63.09,75.09,82.29,85.59,86.18,89.47,90.75,90.85,97.56,102.12,103.82,86.4975
"152","19-6308",62.96,70.05,71.78,74.69,81.85,84.05,87.96,86.27,82.16,94.01,95.95,98.89,82.5516666666667
"153","19-6637",73.17,73.38,74.75,82.26,86.21,87.38,90.85,91.93,92.96,99.91,107.99,107.24,89.0025
"154","19-6704",69.28,62,75.18,78.65,85.96,88.35,85.03,88.65,95.07,100.27,102.22,105.32,86.3316666666667
"155","19-6946",75.16,77.84,75.5,89.26,86.52,88.45,89.95,91.08,81.04,94.59,101.94,101.04,87.6975
"156","19-8449",67.4,68.68,73.77,78.72,84.85,82.94,84.09,88.06,86.2,96.35,99.24,102.01,84.3591666666667
"157","19-8870",70.48,71.1,75.09,83.73,84.77,84.86,81.72,89.02,92.27,94.88,99.41,100.68,85.6675
