"","pvals.Line.Name","pvals.predicted.value","pvals.std.error","pvals.status","avsed","trait","study"
"1","07-19334",150.562873637533,0.315849230109015,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"2","17-8930",146.459245968732,0.31602239112363,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"3","18-12001",149.062383593486,0.316355448178914,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"4","18-12756",148.041939219784,0.316740708243649,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"5","18-12809",148.956269112161,0.318382013271771,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"6","18-13748",149.096961160191,0.316239418574642,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"7","18-13756",149.433620892843,0.3183087162001,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"8","18-13765",148.986839995202,0.316753749213762,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"9","18-13852",150.961289730121,0.318515818972145,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"10","18-13965",149.479053369317,0.319040519087113,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"11","18-14535",148.043122996653,0.318455748836073,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"12","18-15372",147.472532396762,0.319058657403019,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"13","18-16828",148.101560269827,0.316711997618067,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"14","18-17119",148.854175883629,0.316371399848312,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"15","18-17905",149.508395617029,0.316278671691381,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"16","18-22132",148.498743495794,0.318555352533554,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"17","18-22767",147.390751781869,0.316577937029875,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"18","18-22976",149.996905390308,0.317910019182777,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"19","18-23224",147.954732294922,0.318414983495493,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"20","18-23760",151.459131613467,0.316365077393894,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"21","18-26037",148.988053405359,0.318429139878039,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"22","18-4910",148.523922577841,0.316705604422259,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"23","18-5737",148.498779857709,0.319842603002315,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"24","18-5837",149.983017255768,0.316659987815388,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"25","18-6274",148.438693782028,0.316344820150917,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"26","18-6852",148.998748193813,0.316303416149083,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"27","18-7928",147.97511729914,0.316290187391059,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"28","18-7943",148.049539754882,0.318434743941522,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"29","18-842",149.08043645063,0.319058739575353,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"30","18-9724",148.568254194829,0.319995747032657,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"31","18MSFRS-18",150.010496398607,0.316351940302404,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"32","Pio 25R74",151.054923111098,0.31674641035456,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"33","US16-IL-061-032",148.489262587183,0.317291384126659,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"34","US16-IL-061-068",147.52122966829,0.316668364213871,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"35","US16-IL-063-026",148.060499720135,0.316716727917952,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"36","US16-IL-063-063",147.516133870989,0.318253380123036,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"37","US17-IL-108-039",151.940225518873,0.316361085914288,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
