site,loc,year,study,germplasmName,trait,predicted.value
Lay_22,Lay,22,YT_Lay_22,IL2021-33378,Grain.yield...bu.ac,100.6131977
Lay_22,Lay,22,YT_Lay_22,IL2021-24479,Grain.yield...bu.ac,68.01107236
Lay_22,Lay,22,YT_Lay_22,Becks 726,Grain.yield...bu.ac,100.6752058
Lay_22,Lay,22,YT_Lay_22,IL2021-36723,Grain.yield...bu.ac,81.61726997
Lay_22,Lay,22,YT_Lay_22,IL2021-36632,Grain.yield...bu.ac,84.60459511
Lay_22,Lay,22,YT_Lay_22,IL2021-46411,Grain.yield...bu.ac,78.60243077
Lay_22,Lay,22,YT_Lay_22,IL2021-2907,Grain.yield...bu.ac,80.12750321
Lay_22,Lay,22,YT_Lay_22,IL2021-34260,Grain.yield...bu.ac,95.73936665
Lay_22,Lay,22,YT_Lay_22,Hilliard,Grain.yield...bu.ac,87.45012224
Lay_22,Lay,22,YT_Lay_22,IL2021-13321,Grain.yield...bu.ac,105.0935378
Lay_22,Lay,22,YT_Lay_22,IL2021-16120,Grain.yield...bu.ac,97.92014569
Lay_22,Lay,22,YT_Lay_22,IL2021-11962,Grain.yield...bu.ac,96.94214205
Lay_22,Lay,22,YT_Lay_22,IL2021-45172,Grain.yield...bu.ac,84.12840467
Lay_22,Lay,22,YT_Lay_22,IL2021-11622,Grain.yield...bu.ac,76.50677099
Lay_22,Lay,22,YT_Lay_22,AG0762,Grain.yield...bu.ac,84.79331324
Lay_22,Lay,22,YT_Lay_22,IL2021-25818,Grain.yield...bu.ac,83.92523586
Lay_22,Lay,22,YT_Lay_22,IL2021-16728,Grain.yield...bu.ac,80.59266148
Lay_22,Lay,22,YT_Lay_22,IL2021-16944,Grain.yield...bu.ac,89.58225749
Lay_22,Lay,22,YT_Lay_22,IL2021-17534,Grain.yield...bu.ac,78.17998494
Lay_22,Lay,22,YT_Lay_22,IL2021-4674,Grain.yield...bu.ac,87.44515172
Lay_22,Lay,22,YT_Lay_22,IL2021-31547,Grain.yield...bu.ac,100.7677776
Lay_22,Lay,22,YT_Lay_22,IL2021-34252,Grain.yield...bu.ac,104.6588534
Lay_22,Lay,22,YT_Lay_22,IL2021-27611,Grain.yield...bu.ac,95.24615688
Lay_22,Lay,22,YT_Lay_22,IL2021-31368,Grain.yield...bu.ac,86.6220685
Lay_22,Lay,22,YT_Lay_22,IL2021-4310,Grain.yield...bu.ac,81.76316279
Lay_22,Lay,22,YT_Lay_22,IL2021-29957,Grain.yield...bu.ac,75.73652094
Lay_22,Lay,22,YT_Lay_22,IL2021-1763,Grain.yield...bu.ac,65.82985237
Lay_22,Lay,22,YT_Lay_22,IL2021-43945,Grain.yield...bu.ac,71.39825051
Lay_22,Lay,22,YT_Lay_22,IL2021-27364,Grain.yield...bu.ac,81.65046002
Lay_22,Lay,22,YT_Lay_22,IL2021-31432,Grain.yield...bu.ac,88.9855072
Lay_22,Lay,22,YT_Lay_22,IL2021-39636,Grain.yield...bu.ac,118.4006223
Lay_22,Lay,22,YT_Lay_22,Hilliard,Grain.yield...bu.ac,83.18015083
Lay_22,Lay,22,YT_Lay_22,IL2021-30369,Grain.yield...bu.ac,81.75766082
Lay_22,Lay,22,YT_Lay_22,IL2021-33944,Grain.yield...bu.ac,86.220643
Lay_22,Lay,22,YT_Lay_22,IL2021-41355,Grain.yield...bu.ac,79.68433641
Lay_22,Lay,22,YT_Lay_22,IL2021-26639,Grain.yield...bu.ac,82.33186285
Lay_22,Lay,22,YT_Lay_22,IL2021-4047,Grain.yield...bu.ac,77.67228118
Lay_22,Lay,22,YT_Lay_22,IL2021-16642,Grain.yield...bu.ac,97.08287979
Lay_22,Lay,22,YT_Lay_22,IL2021-21078,Grain.yield...bu.ac,80.01278082
Lay_22,Lay,22,YT_Lay_22,Becks 726,Grain.yield...bu.ac,93.23152879
Lay_22,Lay,22,YT_Lay_22,IL2021-37516,Grain.yield...bu.ac,95.73812875
Lay_22,Lay,22,YT_Lay_22,IL2021-26075,Grain.yield...bu.ac,104.1400483
Lay_22,Lay,22,YT_Lay_22,IL2021-3927,Grain.yield...bu.ac,87.78955603
Lay_22,Lay,22,YT_Lay_22,Becks 726,Heading.time...Julian.date..JD..,141
Lay_22,Lay,22,YT_Lay_22,IL2021-44005,Heading.time...Julian.date..JD..,140
Lay_22,Lay,22,YT_Lay_22,IL2021-47147,Heading.time...Julian.date..JD..,139
