p1,p2,crossN,reciprocalNm,netMerit,cross,reciprocal,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,select,rank,relValue
7,37,7 x 37,37 x 7,486.4,IL16LCSDH-06-T-2661-228 x 16-23972,16-23972 x IL16LCSDH-06-T-2661-228,57.1,83.6,132.9,35.6,1,0,0,653,95
23,33,23 x 33,33 x 23,515.3,19-21848 x 18-14535,18-14535 x 19-21848,58.2,83.5,130.9,35.6,0.8,0,0,329,101
2,29,2 x 29,29 x 2,507.3,IL16LCSDH-09-T-2664-23 x US17-IL-111-006,US17-IL-111-006 x IL16LCSDH-09-T-2664-23,59.1,83.5,131.9,36,0.9,0,0,469,99
12,37,12 x 37,37 x 12,505.1,2020-5376 x 16-23972,16-23972 x 2020-5376,57.7,83.5,131.6,35.7,0.9,0,0,505,99
8,13,8 x 13,13 x 8,486.3,IL16LCSDH-06-T-2661-17 x 2020-2334,2020-2334 x IL16LCSDH-06-T-2661-17,57.5,83.5,132.6,37.1,1.5,0,0,654,95
24,28,24 x 28,28 x 24,517.6,19-20348 x 19-14617,19-14617 x 19-20348,58.1,83.4,130.3,36,0.8,0,0,286,101
20,21,20 x 21,21 x 20,511.3,2020-13902 x 19-6704,19-6704 x 2020-13902,57.5,83.4,130.8,37.1,0.5,0,0,388,100
18,29,18 x 29,29 x 18,510.8,2020-15256 x US17-IL-111-006,US17-IL-111-006 x 2020-15256,58.4,83.4,130.7,36.6,1.1,0,0,399,100
21,22,21 x 22,22 x 21,509.9,19-6704 x 19-6637,19-6637 x 19-6704,58.2,83.4,131.4,36.7,0.9,0,0,420,100
9,30,9 x 30,30 x 9,509.8,IL16LCSDH-01-T-863-58 x US17-IL-111-005,US17-IL-111-005 x IL16LCSDH-01-T-863-58,58.7,83.4,132,36.4,0.7,0,0,423,100
10,37,10 x 37,37 x 10,507.6,2020-6205 x 16-23972,16-23972 x 2020-6205,58,83.4,132,36.5,0.8,0,0,462,99
25,33,25 x 33,33 x 25,506.9,19-18153 x 18-14535,18-14535 x 19-18153,58.5,83.4,131.9,35.8,0.9,0,0,475,99
24,30,24 x 30,30 x 24,505.7,19-20348 x US17-IL-111-005,US17-IL-111-005 x 19-20348,57.8,83.4,131.3,36.3,1,0,0,493,99
19,21,19 x 21,21 x 19,503.2,2020-14116 x 19-6704,19-6704 x 2020-14116,57.5,83.4,131.5,37.2,0.7,0,0,536,98
26,37,26 x 37,37 x 26,500.6,19-16136 x 16-23972,16-23972 x 19-16136,57.6,83.4,132.7,36,0.7,0,0,566,98
35,37,35 x 37,37 x 35,484.4,17-23874 x 16-23972,16-23972 x 17-23874,57.6,83.4,133.4,36.4,1.3,0,0,657,95
9,28,9 x 28,28 x 9,518.3,IL16LCSDH-01-T-863-58 x 19-14617,19-14617 x IL16LCSDH-01-T-863-58,58.9,83.3,131,36.1,0.5,0,0,274,101
