"","germplasmName","X","War_22","Add_22","Blk_22","Stp_22","Neo_22","Urb_22","yield_factor_analytic","Seed.source.2021","S600.range","S600.row","plot_name","Weight","Moisture","Test.weight","Quick.note","Harvest.Sequence.","action","Found","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit"
"25","2020-11157",59,70.76,75.08,86.91,97.98,100.46,105.73,89.49,"Aug_Urb_21-plot5407",12,5,"SI_Urb_22-132",8.16,11.5,60.8,"",252,"KEEP",TRUE,57.66,89.04,133.57,37.3,0.92,14.78,513.11
"26","2020-11167",103,69.4,71.85,85.67,95.68,99.75,104.59,87.82,"Aug_Urb_21-plot5408",13,5,"SI_Urb_22-133",7.08,11.5,60.8,"",253,"KEEP",TRUE,58.45,86.3,133.09,39.04,1.33,22.31,494.4
"27","2020-1128",NA,68.52,70.57,82.46,86.21,97.2,93.46,83.07,"Aug_Urb_21-plot412",6,1,"SI_Urb_22-6",5.73,11.6,61.7,"",6,"KEEP",TRUE,58.92,78.62,132.46,38.53,1.28,16.95,460.3
"28","2020-11422",40,75.2,77.17,89.22,93.23,105.25,104.19,90.71,"Aug_Urb_21-plot5507",14,5,"SI_Urb_22-134",6.76,11.6,60.1,"",254,"KEEP",TRUE,58.21,88.48,133.3,40.12,0.85,11.58,521.24
"29","2020-11426",80,70.61,73.44,86.52,95.59,100.64,105.12,88.65,"Aug_Urb_21-plot5508",15,5,"SI_Urb_22-135",7.63,11.5,60.9,"",255,"KEEP",TRUE,58.03,86.47,132.52,38.37,1.27,14.65,504.74
"30","2020-1149",NA,65.74,69.13,80.28,87.06,93.99,90.81,81.17,"Aug_Urb_21-plot414",7,1,"SI_Urb_22-7",6.08,11.7,61.4,"",7,"KEEP",TRUE,58.37,76.94,133.11,38.94,0.93,13.86,454.77
"31","2020-11551",NA,66.77,71.96,82.47,92.13,94.67,98.09,84.35,"Aug_Urb_21-plot5603",16,5,"SI_Urb_22-136",6.37,11.6,61.3,"",256,"KEEP",TRUE,59.62,82.19,135.3,39.18,1.11,15.98,467.6
"32","2020-11632",NA,62.57,69.52,77.67,87.65,88.73,87.97,79.02,"Aug_Urb_21-plot5608",17,5,"SI_Urb_22-137",5.7,11.7,60.1,"",257,"KEEP",TRUE,58.09,76.25,131.85,38.74,0.48,11.14,466.39
"33","2020-11836",NA,65.57,70.32,80.52,88.86,93.28,92.34,81.82,"Aug_Urb_21-plot5708",18,5,"SI_Urb_22-138",5.74,13.1,56.2,"",258,"KEEP",TRUE,57.1,79.45,132.65,36.71,0.83,13.57,458.81
"34","2020-11841",NA,66.56,70.17,83.07,96.26,96.79,99.33,85.36,"Aug_Urb_21-plot5709",19,5,"SI_Urb_22-139",5.7,12,61.1,"",259,"KEEP",TRUE,58.81,83.15,132.31,38.21,0.72,11.79,498.64
"35","2020-12056",NA,67.31,70.99,82.43,89.9,95.7,96.58,83.82,"Aug_Urb_21-plot5713",20,5,"SI_Urb_22-140",5.57,12.4,56.7,"",260,"KEEP",TRUE,57.67,81.45,134.71,38.13,1.51,24.15,449.63
"36","2020-12073",NA,65.86,71.89,80.99,88.09,92.1,95.47,82.4,"Aug_Urb_21-plot5716",21,5,"SI_Urb_22-141",5.88,12.1,59.3,"",261,"KEEP",TRUE,58.65,78.77,134.22,38.57,1.33,24.22,446.04
"37","2020-12226",NA,64.45,70.01,80.91,93.38,92.56,97.05,83.06,"Aug_Urb_21-plot5802",22,5,"SI_Urb_22-142",5.85,11.8,59.7,"",262,"KEEP",TRUE,58.11,79.74,134.01,35.39,1.45,21.9,451.93
"38","2020-12650",68,73.48,75.12,87.7,91.47,103.3,102.87,88.99,"Aug_Urb_21-plot5904",23,5,"SI_Urb_22-143",6.28,11.7,58,"",263,"KEEP",TRUE,57.79,84.94,134.48,37.66,1.02,15.87,485.45
"39","2020-12665",81,72.16,76.12,86.92,92.65,100.65,103.38,88.65,"Aug_Urb_21-plot5908",24,5,"SI_Urb_22-144",6.93,11.6,61.2,"",264,"KEEP",TRUE,58.17,85.13,133.64,38.33,1.16,15.23,492.67
"40","2020-12673",NA,61.26,67.5,75.66,78,84.72,87.9,75.84,"Aug_Urb_21-plot5909",25,5,"SI_Urb_22-145",6.34,12.7,57.3,"",265,"KEEP",TRUE,58.14,70.64,133.86,36.59,1.3,15.09,409.6
"41","2020-13001",69,71.37,75.05,86.86,95.52,100.89,104.26,88.99,"Aug_Urb_21-plot6005",26,5,"SI_Urb_22-146",7.41,11.5,60.9,"",266,"KEEP",TRUE,58.47,87.05,133.23,38.95,0.95,13.42,510.47
"42","2020-13011",NA,69.06,71.81,84.85,93.96,98.94,101.83,86.74,"Aug_Urb_21-plot6006",27,5,"SI_Urb_22-147",6.71,11.8,60.1,"",267,"KEEP",TRUE,58.71,83.77,134.22,39.47,0.84,18.09,485.49
"43","2020-1314",NA,68.12,74.1,82.75,88.33,94.33,97.16,84.13,"Aug_Urb_21-plot506",8,1,"SI_Urb_22-8",5.61,11.7,62.2,"",8,"KEEP",TRUE,59.04,80.44,133.62,39.09,1.01,17.1,468.1
"44","2020-13145",116,69,72.8,85.1,94.96,98.28,103.49,87.27,"Aug_Urb_21-plot6020",28,5,"SI_Urb_22-148",7.33,11.4,60.5,"",268,"KEEP",TRUE,58.81,83.91,132.52,37.55,0.97,17.17,494.08
"45","2020-13223",NA,68.67,72.74,84.6,93.66,97.4,102.71,86.63,"Aug_Urb_21-plot6104",29,5,"SI_Urb_22-149",7.43,12.5,59.6,"",269,"KEEP",TRUE,58.65,82.66,134.35,38.26,1.58,23.95,462.37
"46","2020-13354",NA,66.16,70.49,81.05,88.75,94.06,93.24,82.29,"Aug_Urb_21-plot6116",30,5,"SI_Urb_22-150",6.59,11.4,62.3,"",270,"KEEP",TRUE,59.6,79.9,133.17,38.29,0.87,13.92,471.81
"47","2020-13527",NA,71.2,75.22,84.89,88.17,98.81,97.16,85.91,"Aug_Urb_21-plot6213",30,6,"SI_Urb_22-151",6.24,11.8,60.5,"",330,"KEEP",TRUE,59.76,82.22,132.86,37.54,1.18,18.54,478.36
"48","2020-1362",95,69.33,73.36,85.48,98.28,99.72,101.85,88,"Aug_Urb_21-plot512",9,1,"SI_Urb_22-9",6.55,11.6,61.4,"",9,"KEEP",TRUE,59.48,84.82,132.75,38.82,1.24,13.67,495.6
"49","2020-13707",NA,68.03,70.1,83.47,90.77,97.58,99.3,84.88,"Aug_Urb_21-plot6306",29,6,"SI_Urb_22-152",7.32,12.1,59.4,"",329,"KEEP",TRUE,58.53,81.06,134.35,39.06,1.11,14.87,467.37
"50","2020-13710",NA,65.33,70.92,80.72,89.85,92.56,94.44,82.3,"Aug_Urb_21-plot6307",28,6,"SI_Urb_22-153",6.64,11.5,61.2,"",328,"KEEP",TRUE,58.78,78.86,132.05,38.02,0.85,15.17,471.82
"51","2020-13735",NA,68.39,71.51,82.65,87.76,96.71,94.53,83.59,"Aug_Urb_21-plot6310",27,6,"SI_Urb_22-154",6.55,11.7,61.6,"",327,"KEEP",TRUE,59.16,80.95,132.67,38.2,1.07,18.5,474.29
"52","2020-13739",67,71.81,75.19,87.04,96.11,101.91,102.73,89.13,"Aug_Urb_21-plot6312",26,6,"SI_Urb_22-155",7.31,11.8,59.7,"",326,"KEEP",TRUE,58.2,86.57,133.93,38.96,1.23,18.16,495.8
"53","2020-13814",NA,69.24,71.41,84.65,93.51,99.59,99.72,86.35,"Aug_Urb_21-plot6319",25,6,"SI_Urb_22-156",6.9,11.5,61.8,"",325,"KEEP",TRUE,58.67,81.88,133.29,37.98,1.16,14.31,477.28
"54","2020-13902",56,70.29,73.11,86.9,99.86,101.66,105.72,89.59,"Aug_Urb_21-plot6407",24,6,"SI_Urb_22-157",7.03,11.6,60.1,"",324,"KEEP",TRUE,58.43,88.48,132.17,38,0.38,4.95,540.37
"55","2020-13967",32,73.43,74.59,89.44,98.44,105.16,109.65,91.78,"Aug_Urb_21-plot6412",23,6,"SI_Urb_22-158",7.03,11.3,59.2,"",323,"KEEP",TRUE,57.44,88.27,134.77,39.43,1.52,31.13,476.23
"56","2020-14072",NA,66.07,71.45,80.17,84.21,91.89,91.63,80.9,"Aug_Urb_21-plot6418",22,6,"SI_Urb_22-159",5.88,11.5,59.3,"",322,"KEEP",FALSE,58.95,76.71,133.78,39.08,0.76,10.77,454.34
"57","2020-14116",21,74.26,76.23,90.16,99.7,105.8,110.05,92.7,"Aug_Urb_21-plot6506",21,6,"SI_Urb_22-160",6.49,11.3,59.5,"",321,"KEEP",TRUE,58.32,88.69,133.83,38.63,0.86,12.47,518.66
"58","2020-14253",NA,68.72,73.38,83.59,91.42,96.89,97.16,85.19,"Aug_Urb_21-plot6518",20,6,"SI_Urb_22-161",5.8,12.2,60.2,"",320,"KEEP",NA,58.2,81,132.83,39.05,1.3,17.46,470.65
"59","2020-14337",NA,69.58,73.73,84.81,91.93,97.86,101.31,86.54,"Aug_Urb_21-plot6602",19,6,"SI_Urb_22-162",6.93,11.7,60.1,"",319,"KEEP",TRUE,58.48,83.57,134.12,39.27,0.64,8.69,494.51
"60","2020-14846",NA,65.48,70.06,80.71,88.57,92.99,94.41,82.04,"Aug_Urb_21-plot6813",18,6,"SI_Urb_22-163",6.15,12.1,59.9,"",318,"KEEP",TRUE,58.72,78.68,133.86,40.71,0.53,13.29,467.04
"61","2020-14872",138,69.66,73.04,85.09,91.72,98.25,102.85,86.77,"Aug_Urb_21-plot6818",17,6,"SI_Urb_22-164",6.5,12,62.3,"",317,"KEEP",TRUE,59.67,83.69,134.15,39.58,1.27,18.9,477.65
"62","2020-15010",NA,64.08,70.45,78.62,83.71,89.1,90.75,79.45,"Aug_Urb_21-plot6911",16,6,"SI_Urb_22-165",5.84,11.5,62.3,"",316,"KEEP",TRUE,60.15,75.83,134.01,38.3,0.7,11.01,448.91
"63","2020-1511",119,70.9,74.51,85.54,93.29,100.29,98.79,87.22,"Aug_Urb_21-plot613",10,1,"SI_Urb_22-10",6.33,11.6,62.5,"",10,"KEEP",TRUE,59.36,84.75,132.12,37.07,1.22,16.44,497.22
"64","2020-15209",NA,68.5,71.32,83.73,89.31,96.91,100.54,85.05,"Aug_Urb_21-plot7009",15,6,"SI_Urb_22-166",7.61,11.7,60.4,"",315,"KEEP",TRUE,58.3,82.15,132.54,37.31,0.89,13.65,487.88
"65","2020-15215",NA,54.61,62.84,70.63,79.89,77.74,82.56,71.38,"Aug_Urb_21-plot7010",14,6,"SI_Urb_22-167",6.27,11.6,59.8,"",314,"KEEP",TRUE,58.48,67.01,132.67,38.09,1.14,19.06,396.27
"66","2020-15256",23,73.77,76.31,89.89,100.65,105.25,109.78,92.61,"Aug_Urb_21-plot7014",13,6,"SI_Urb_22-168",7.97,11.9,60.4,"",313,"KEEP",TRUE,58.88,92.41,132.53,38.69,1.24,20.83,533.32
"67","2020-1534",NA,63.92,66.6,79.64,87.18,92.24,94.71,80.72,"Aug_Urb_21-plot618",11,1,"SI_Urb_22-11",6.02,11.7,61.1,"",11,"KEEP",TRUE,58.23,77.85,131.91,37.36,0.63,16.08,469.77
"68","2020-15348",NA,66,69.96,81.27,87.31,93.28,96.84,82.44,"Aug_Urb_21-plot7107",12,6,"SI_Urb_22-169",7.18,11.4,61.5,"",312,"KEEP",NA,59.36,78.48,133.55,37.25,0.49,5.99,472.84
"69","2020-15403",125,71.16,71.54,85.92,90.89,101.78,101.27,87.09,"Aug_Urb_21-plot7112",11,6,"SI_Urb_22-170",7.21,11.3,62.6,"",311,"KEEP",TRUE,60.33,80.86,133.34,37.64,0.98,13.65,474.76
"70","2020-15405",NA,66.92,73.52,79.92,82.62,91.82,87.4,80.37,"Aug_Urb_21-plot7113",10,6,"SI_Urb_22-171",6.68,11.3,62.9,"",310,"KEEP",TRUE,60.06,75.23,133.36,37.69,0.34,6.33,457.22
"71","2020-15415",NA,66.27,71.65,80.43,85.57,92.59,91.3,81.3,"Aug_Urb_21-plot7115",9,6,"SI_Urb_22-172",6.62,11.2,62.8,"",309,"KEEP",TRUE,60.16,76.87,132.37,37.66,0.76,12.5,461.94
"72","2020-15423",NA,67.85,71.72,82.32,89.58,96.35,93.42,83.54,"Aug_Urb_21-plot7117",8,6,"SI_Urb_22-173",6.24,10.5,64.6,"",308,"KEEP",TRUE,59.82,80.39,132.61,36.7,0.63,6.67,486.25
"73","2020-15429",NA,69.38,73.79,84.27,92.27,97.92,98.1,85.96,"Aug_Urb_21-plot7118",7,6,"SI_Urb_22-174",6.7,11.3,62.6,"",307,"KEEP",TRUE,59.47,82.48,132.89,37.44,0.64,9.89,494.31
"74","2020-15438",NA,69.5,74.53,83.62,88.19,96.44,96.47,84.79,"Aug_Urb_21-plot7201",6,6,"SI_Urb_22-175",6.86,11.4,62.9,"",306,"KEEP",TRUE,60.33,80.51,133.15,37.73,0.82,12.5,477.13
"75","2020-15478",NA,64.02,72.71,79.44,88.95,88.85,93.38,81.22,"Aug_Urb_21-plot7206",5,6,"SI_Urb_22-176",6.78,11.1,62.4,"",305,"KEEP",TRUE,59.12,78.67,131.63,37.33,0.49,5.23,484.91
"76","2020-15546",NA,64.88,67.95,80.56,88.45,93.26,95.8,81.82,"Aug_Urb_21-plot7211",4,6,"SI_Urb_22-177",7.03,11.2,62.7,"",304,"KEEP",TRUE,59.19,78.3,131.89,37.28,0.68,8.45,476.45
"77","2020-15726",71,71.15,72.22,86.97,95.41,102.34,105.33,88.9,"Aug_Urb_21-plot7310",3,6,"SI_Urb_22-178",8.07,11.7,60.9,"",303,"KEEP",TRUE,58.61,86.09,134.81,37.1,1,14.68,494.75
"78","2020-1578",NA,68.14,73.24,83.65,93.89,96.67,98.44,85.67,"Aug_Urb_21-plot705",12,1,"SI_Urb_22-12",6.25,11.7,62.2,"",12,"KEEP",TRUE,58.92,83.37,133.7,37.54,1,17.62,483.69
"79","2020-15810",NA,66.86,70.05,82.96,93.34,96.42,99.46,84.85,"Aug_Urb_21-plot7320",2,6,"SI_Urb_22-179",7.35,11.4,62.5,"",302,"KEEP",TRUE,60.12,82.36,133.61,36.5,0.95,14.02,481.85
"80","2020-15836",NA,66.22,73.47,80.68,85.24,90.79,94.37,81.8,"Aug_Urb_21-plot7405",1,6,"SI_Urb_22-180",7.05,11.4,62.1,"",301,"KEEP",TRUE,59.84,78.31,133.69,37.69,0.82,11.26,462.66
"81","2020-15961",NA,69.09,74.02,83.51,88.8,96.22,97.15,84.8,"Aug_Urb_21-plot7413",1,7,"SI_Urb_22-181",6.26,11.4,61.8,"",361,"KEEP",TRUE,60.08,82.15,133.94,38.69,0.82,13.8,481.06
"82","2020-16022",86,70.43,74.91,86.12,95.9,99.6,103.34,88.38,"Aug_Urb_21-plot7418",2,7,"SI_Urb_22-182",7.21,11.1,61.2,"",362,"KEEP",TRUE,58.94,85.64,132.64,38.81,0.62,8.21,515.05
"83","2020-16035",60,71.24,72.82,87.16,97.45,102.82,104.65,89.36,"Aug_Urb_21-plot7502",3,7,"SI_Urb_22-183",8.34,11.2,61.1,"",363,"KEEP",TRUE,58.62,87.6,132.31,39.15,0.77,11.87,522.9
"84","2020-16102",76,69.64,72.41,86.24,98.42,100.6,105.36,88.78,"Aug_Urb_21-plot7508",4,7,"SI_Urb_22-184",6.88,11.4,61,"",364,"KEEP",TRUE,58.89,86.87,132.69,37.4,0.57,7.65,523.02
"85","2020-16118",124,69.47,71.74,85.16,95.14,100.16,100.93,87.1,"Aug_Urb_21-plot7511",5,7,"SI_Urb_22-185",6.89,11.3,61.4,"",365,"KEEP",TRUE,58.93,84.61,132.36,38.18,0.44,6.69,514.86
"86","2020-16145",NA,68.79,73.22,84.52,92.71,97,102.45,86.45,"Aug_Urb_21-plot7515",6,7,"SI_Urb_22-186",6.43,11.2,62.3,"",366,"KEEP",TRUE,59.19,83.04,132.49,36.69,0.39,7.9,505.24
"87","2020-16228",NA,67.35,71.64,83.12,92.8,96,99.13,85.01,"Aug_Urb_21-plot7610",7,7,"SI_Urb_22-187",6.55,11.1,62.3,"",367,"KEEP",TRUE,58.96,81.38,132.59,38.49,0.69,8.69,489.77
"88","2020-16301",NA,63.99,69.8,79.37,88.06,90.63,92.68,80.75,"Aug_Urb_21-plot7613",8,7,"SI_Urb_22-188",6.43,11.2,61.8,"",368,"KEEP",TRUE,59.31,77.56,132.28,38.59,0.36,4.2,477.67
"89","2020-1643",NA,68.38,73.5,84.15,95.31,97.24,99.68,86.38,"Aug_Urb_21-plot713",13,1,"SI_Urb_22-13",6.83,11.9,62.3,"",13,"KEEP",TRUE,59.55,84.01,133.53,39.3,0.78,13.14,494.95
"90","2020-16521",NA,67.29,73.81,83.21,92.07,93.88,101.54,85.3,"Aug_Urb_21-plot7804",9,7,"SI_Urb_22-189",7.45,11.2,61,"",369,"KEEP",TRUE,58.27,81.61,133.71,37.42,1.12,21.22,469.58
"91","2020-16523",NA,64.95,71.68,80.86,90.86,91.45,96.81,82.77,"Aug_Urb_21-plot7805",10,7,"SI_Urb_22-190",7.3,11.5,59.5,"",370,"KEEP",TRUE,57.68,80.02,133.59,37.17,0.88,14.84,464.32
"92","2020-16637",NA,68.71,76.04,83.23,89.22,94.26,97.45,84.82,"Aug_Urb_21-plot7902",11,7,"SI_Urb_22-191",7.54,10.9,62.9,"",371,"KEEP",TRUE,58.88,81.79,132.21,38.91,0.52,10.34,495.83
"93","2020-16641",120,70.88,73.71,85.6,92.8,100.59,99.46,87.17,"Aug_Urb_21-plot7903",12,7,"SI_Urb_22-192",7.03,11,60.8,"",372,"KEEP",TRUE,58.71,83.76,131.62,39.12,0.62,11.31,507.96
"94","2020-16727",33,71.19,71.31,88.58,104.71,105.8,108.38,91.66,"Aug_Urb_21-plot7912",13,7,"SI_Urb_22-193",7.9,11.4,59,"",373,"KEEP",TRUE,57.63,90.39,134.09,37.98,1.13,17.78,511.12
"95","2020-16738",15,73.45,74.44,90.35,105.04,107.41,110.31,93.5,"Aug_Urb_21-plot7914",14,7,"SI_Urb_22-194",7.51,11.6,59.5,"",374,"KEEP",TRUE,57.61,92.43,133.32,37.57,1.26,22.39,520.5
"96","2020-16758",16,72.88,73.03,90.34,104.16,106.77,113.57,93.46,"Aug_Urb_21-plot7918",15,7,"SI_Urb_22-195",7.77,11.6,58.7,"",375,"KEEP",TRUE,57.35,92.6,134.02,37.55,1.2,22.33,513.84
"97","2020-16902",NA,69.88,71.58,84.3,86.47,98.22,99.98,85.07,"Aug_Urb_21-plot8011",16,7,"SI_Urb_22-196",6.94,11.3,62.6,"",376,"KEEP",TRUE,60.24,80.9,134.65,40.36,0.58,10.4,476.2
"98","2020-16972",NA,64.14,71.7,79.15,85.87,88.8,92.93,80.43,"Aug_Urb_21-plot8103",17,7,"SI_Urb_22-197",6.82,11.7,60.4,"",377,"KEEP",TRUE,58.83,77.91,133.95,38.96,1.13,15.07,451.76
"99","2020-17006",NA,69,72.26,84.79,93.21,98.19,102.56,86.67,"Aug_Urb_21-plot8108",18,7,"SI_Urb_22-198",7.08,11.2,61.6,"",378,"KEEP",TRUE,58.92,83.87,133.8,37.92,1.22,18.37,481.7
"100","2020-17017",109,70.59,76.33,85.65,92.3,97.74,102.77,87.56,"Aug_Urb_21-plot8111",19,7,"SI_Urb_22-199",7.33,11.1,61.6,"",379,"KEEP",TRUE,58.78,84.55,133.18,37.01,0.86,16.3,496.43
"101","2020-17110",NA,67.46,70.63,83.78,93.97,96.98,102.02,85.81,"Aug_Urb_21-plot8201",20,7,"SI_Urb_22-200",6.43,11.9,58.4,"",380,"KEEP",TRUE,57.21,82.66,133.37,38.64,1.05,21.51,465.14
"102","2020-17118",54,70.34,71.62,87.09,100.04,102.82,106.15,89.68,"Aug_Urb_21-plot8204",21,7,"SI_Urb_22-201",6.81,11.5,59.2,"",381,"KEEP",TRUE,57.59,87.61,133.74,37.47,1.28,21.6,492.21
"103","2020-17132",51,72.52,75.27,87.88,95.83,102.69,105.51,89.95,"Aug_Urb_21-plot8209",22,7,"SI_Urb_22-202",6.88,11.4,59.5,"",382,"KEEP",TRUE,56.96,88.31,132.48,37.5,1.98,34.77,470
"104","2020-17154",NA,68.87,70.22,84.45,91.46,98.91,101.58,85.91,"Aug_Urb_21-plot8217",23,7,"SI_Urb_22-203",6.65,12,58.2,"",383,"KEEP",TRUE,57.66,84.03,133.35,39.23,0.95,17.71,484.36
"105","2020-17163",NA,71.02,75.39,84.54,86.88,98.01,96.7,85.42,"Aug_Urb_21-plot8219",24,7,"SI_Urb_22-204",6.51,11.2,60.7,"",384,"KEEP",TRUE,57.62,80.42,132.24,37.54,1.19,17.64,466.28
"106","2020-17307",NA,68.27,73.27,82.71,87.68,95.05,96.35,83.89,"Aug_Urb_21-plot8401",25,7,"SI_Urb_22-205",6.69,11.9,61.4,"",385,"KEEP",TRUE,59.28,78.81,134.43,39.2,0.99,14.35,456.66
"107","2020-17343",NA,63.26,70.29,77.51,82.24,87.58,88.19,78.18,"Aug_Urb_21-plot8405",26,7,"SI_Urb_22-206",6.29,11.4,61.2,"",386,"KEEP",TRUE,58.95,74.9,132.72,37.67,1.21,18.15,438.79
"108","2020-1739",NA,67.53,69.63,83.52,91.35,96.97,101.7,85.12,"Aug_Urb_21-plot811",14,1,"SI_Urb_22-14",5.84,11.7,59.7,"",14,"KEEP",TRUE,57.27,82.45,133.63,38.36,0.83,22.18,466.73
"109","2020-17445",NA,69.42,75.17,83.8,88.96,95.97,97.78,85.18,"Aug_Urb_21-plot8420",27,7,"SI_Urb_22-207",6.93,11.3,61.5,"",387,"KEEP",TRUE,58.89,83.14,134.01,37.61,1.01,17.75,480.53
