"","germplasmName","X","War_22","Add_22","Blk_22","Stp_22","Neo_22","Urb_22","yield_factor_analytic","Seed.source.2021","S600.range","S600.row","plot_name","Weight","Moisture","Test.weight","Quick.note","Harvest.Sequence.","action","Found","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit"
"110","2020-17447",NA,66.72,70.36,81.7,87.91,94.56,95.81,82.84,"Aug_Urb_21-plot8501",28,7,"SI_Urb_22-208",6.68,11.1,62.6,"",388,"KEEP",TRUE,59.23,79.25,132.69,39.28,0.8,16.57,470.4
"111","2020-17458",NA,66.57,72.64,83.29,97.77,95.45,100.47,86.03,"Aug_Urb_21-plot8503",29,7,"SI_Urb_22-209",6.57,11.5,59.8,"",389,"KEEP",TRUE,57.77,84.7,134.05,36.77,1.05,17.22,484.76
"112","2020-1747",NA,65.34,70.68,81.75,91.22,92.52,100.68,83.7,"Aug_Urb_21-plot813",15,1,"SI_Urb_22-15",6.43,11.7,58.9,"",15,"KEEP",TRUE,55.92,80.35,132.26,36.29,0.7,16.33,447.27
"113","2020-17555",55,69.93,71.6,87.03,99.27,101.6,108.62,89.67,"Aug_Urb_21-plot8513",30,7,"SI_Urb_22-210",6.58,11.2,60.8,"",390,"KEEP",TRUE,58.62,86.75,133.22,39.21,0.82,18.35,507.79
"114","2020-17565",NA,67.25,69.65,82.46,89.97,96.58,96.49,83.73,"Aug_Urb_21-plot8515",30,8,"SI_Urb_22-211",6.33,11.3,62.2,"",450,"KEEP",TRUE,59.08,80.21,131.48,39.57,0.9,12.33,483.58
"115","2020-1759",NA,66.23,70.28,82.45,93.35,95.22,99.09,84.44,"Aug_Urb_21-plot819",16,1,"SI_Urb_22-16",4.83,12,59.4,"",16,"KEEP",TRUE,57.42,81.99,133.14,36.48,0.78,20.36,471.53
"116","2020-1761",92,70.84,75.04,86.14,94.06,99.63,103.04,88.12,"Aug_Urb_21-plot820",17,1,"SI_Urb_22-17",4.44,12,60,"",17,"KEEP",TRUE,58.45,85.13,132.4,35.42,1.29,28.98,487.93
"117","2020-1842",84,69.32,71.9,85.86,99.05,100.82,103.44,88.4,"Aug_Urb_21-plot910",18,1,"SI_Urb_22-18",4.07,0,0,"",18,"KEEP",TRUE,57.51,86.55,134.6,39.04,1.37,22.36,478.12
"118","2020-1847",111,69.34,75.21,84.96,97.35,98.41,99.33,87.43,"Aug_Urb_21-plot911",19,1,"SI_Urb_22-19",4.01,0,0,"",19,"KEEP",TRUE,58.11,85.1,132.55,38.84,0.33,7.85,517.6
"119","2020-1862",NA,66.81,69.81,83.74,97.7,97.73,101.49,86.21,"Aug_Urb_21-plot912",20,1,"SI_Urb_22-20",5.79,12.8,57,"",20,"KEEP",TRUE,58.24,84.96,132.19,37.94,0.83,14.59,505.74
"120","2020-1865",NA,65.92,71.14,82.26,93.9,94.24,99.21,84.44,"Aug_Urb_21-plot913",21,1,"SI_Urb_22-21",5.56,12.6,57.4,"",21,"KEEP",TRUE,57.32,81.17,132.05,37.05,0.66,16.03,476.12
"121","2020-1908",NA,66.9,72.33,82.66,92.89,94.87,98.28,84.66,"Aug_Urb_21-plot917",22,1,"SI_Urb_22-22",5.8,12,58.9,"",22,"KEEP",TRUE,56.47,81.86,133.97,38.07,0.97,16.78,449.99
"122","2020-1919",NA,68.12,72.16,84.29,93.65,96.82,103.12,86.36,"Aug_Urb_21-plot919",23,1,"SI_Urb_22-23",6.51,11.8,60.7,"",23,"KEEP",TRUE,57.48,84.04,132.77,37.54,1.23,18.07,479.7
"123","2020-1956",25,72.33,73.97,89.23,103.35,105.33,109.41,92.27,"Aug_Urb_21-plot1001",24,1,"SI_Urb_22-24",5.92,11.6,55.9,"",24,"KEEP",TRUE,57.13,91.58,135.02,38.57,1.34,21.49,496.82
"124","2020-2010",47,72.89,77.23,88.23,97.06,102.32,105.76,90.58,"Aug_Urb_21-plot1007",25,1,"SI_Urb_22-25",7.37,11.4,62,"",25,"KEEP",TRUE,58.44,89.15,132.34,36.85,0.82,11.72,530.58
"125","2020-2032",NA,68.46,73.77,84.1,93.85,96.64,100.32,86.19,"Aug_Urb_21-plot1012",26,1,"SI_Urb_22-26",7.67,11.6,61.1,"",26,"KEEP",TRUE,57.68,84.01,132.15,36.13,1.07,19.12,488.38
"126","2020-2034",NA,68.16,72.65,83.15,91.55,96.57,96.44,84.75,"Aug_Urb_21-plot1013",27,1,"SI_Urb_22-27",6.92,11.8,59.2,"",27,"KEEP",TRUE,56.75,82.17,132.02,37.81,1.12,17.77,463.69
"127","2020-2037",134,68.3,69.56,84.79,95.49,99.55,103.3,86.83,"Aug_Urb_21-plot1015",28,1,"SI_Urb_22-28",7.25,11.5,60.4,"",28,"KEEP",TRUE,57.62,83.7,132.05,37.04,1.01,17.77,488.08
"128","2020-2068",NA,68.63,76.01,83.92,93.72,95.46,98.98,86.12,"Aug_Urb_21-plot1101",29,1,"SI_Urb_22-29",7.58,11.6,62.2,"",29,"KEEP",TRUE,58.59,82.92,130.96,37.16,0.51,9.76,509.66
"129","2020-2101",83,72.43,77.19,86.7,93.36,100.95,100.11,88.46,"Aug_Urb_21-plot1105",30,1,"SI_Urb_22-30",4.46,12.1,60.4,"10% cut",30,"KEEP",TRUE,58.73,85.76,130.69,37.59,0.66,8.08,525.84
"130","2020-2310",NA,66.42,70.79,82.05,94.45,96.05,94.32,84.01,"Aug_Urb_21-plot1202",30,2,"SI_Urb_22-31",5.26,11.8,59.8,"",90,"KEEP",TRUE,57.94,81.21,132.18,39.72,0.85,18.2,481.27
"131","2020-2318",NA,69.16,72.9,84.61,92.81,98.05,100.95,86.41,"Aug_Urb_21-plot1203",29,2,"SI_Urb_22-32",7.03,11.6,62,"",89,"KEEP",TRUE,59.17,83.17,132.06,37.73,0.8,17.8,494.96
"132","2020-2330",NA,67.79,73.59,84.01,94.16,95.43,102.91,86.32,"Aug_Urb_21-plot1206",28,2,"SI_Urb_22-33",6.96,11.7,59.6,"",88,"KEEP",TRUE,57.69,83.64,133.58,38.42,0.66,13.83,488.97
"133","2020-2334",36,71.59,74.05,88.17,101.65,103.71,106.96,91.02,"Aug_Urb_21-plot1207",27,2,"SI_Urb_22-34",7.42,11.7,60.9,"",87,"KEEP",TRUE,57.99,89.13,132.17,38.78,1.26,20.16,517.49
"134","2020-2335",NA,66.32,68.13,82.7,92.44,96.42,100.55,84.43,"Aug_Urb_21-plot1208",26,2,"SI_Urb_22-35",7.37,11.5,60.8,"",86,"KEEP",TRUE,57.82,82.15,132.04,39.23,0.83,21.28,483.44
"135","2020-2403",NA,66.26,68.67,81.9,91.76,96.23,95.73,83.43,"Aug_Urb_21-plot1302",25,2,"SI_Urb_22-36",6.62,11.5,61.7,"",85,"KEEP",TRUE,58.72,80.49,132.38,39.15,0.89,14.85,478.66
"136","2020-2615",NA,67.17,73.28,83.22,93.65,94.66,100.64,85.44,"Aug_Urb_21-plot1406",24,2,"SI_Urb_22-37",6.87,11.7,61.8,"",84,"KEEP",TRUE,59.08,82.41,133.78,38,0.96,10.57,483.26
"137","2020-2749",88,71.3,74.57,86.43,93.91,100.74,102.66,88.27,"Aug_Urb_21-plot1414",23,2,"SI_Urb_22-38",6.74,11.5,62.9,"",83,"KEEP",TRUE,59.84,85.72,132.32,37.17,1.11,16.61,503.21
"138","2020-2770",106,69.12,71.98,85.39,96.57,99.63,103.22,87.65,"Aug_Urb_21-plot1420",22,2,"SI_Urb_22-39",6.5,11.6,62.5,"",82,"KEEP",NA,59.81,84.53,132.7,38.77,1.06,15.52,496.09
"139","2020-2775",NA,68.64,73.68,84.07,92.86,96.73,99.93,85.98,"Aug_Urb_21-plot1501",21,2,"SI_Urb_22-40",6.11,11.5,61.1,"",81,"KEEP",TRUE,59.52,82.94,133.45,39.51,1.37,22,473.6
"140","2020-2864",44,72.92,74.97,88.42,97.45,104.09,105.79,90.61,"Aug_Urb_21-plot1510",20,2,"SI_Urb_22-41",5.71,11.7,60.1,"",80,"KEEP",TRUE,58.6,88.38,132.5,38.98,1.11,18.38,515.49
"141","2020-3205",NA,70.4,75.75,84.89,92.32,98.35,97.87,86.6,"Aug_Urb_21-plot1610",19,2,"SI_Urb_22-42",6.36,11.3,60.1,"",79,"KEEP",TRUE,58.08,83.07,132.92,37.06,1.03,23.63,481.93
"142","2020-3211",NA,66.67,68.5,81.69,88.74,96.19,94.56,82.72,"Aug_Urb_21-plot1612",18,2,"SI_Urb_22-43",5.54,11.6,62,"",78,"KEEP",TRUE,58.4,79,131.61,38.42,0.88,18.08,472.69
"143","2020-3234",105,69.8,70.42,85.89,95.22,101.36,104.02,87.78,"Aug_Urb_21-plot1616",17,2,"SI_Urb_22-44",6.01,11.8,59.8,"",77,"KEEP",TRUE,57.97,84.46,132.73,37,0.95,21.96,492.47
"144","2020-3530",NA,67.6,71.45,83.17,91.65,96.18,99.13,84.86,"Aug_Urb_21-plot1713",16,2,"SI_Urb_22-45",5.85,11.6,61.8,"",76,"KEEP",TRUE,59.02,81.41,133.17,38.41,0.89,10.8,482.08
"145","2020-3607",133,69.92,72.13,85.15,93.96,100.43,99.58,86.86,"Aug_Urb_21-plot1719",15,2,"SI_Urb_22-46",7.08,11.5,62.1,"",75,"KEEP",TRUE,59.08,84.15,132.73,37.82,1.02,15.39,494.56
"146","2020-3614",NA,69.39,73.35,83.79,90.28,97.83,96,85.11,"Aug_Urb_21-plot1802",14,2,"SI_Urb_22-47",6.48,11.7,62.1,"",74,"KEEP",TRUE,59.26,81.33,133.64,38.66,0.74,13.28,479.8
"147","2020-3744",64,71.92,77.99,86.92,95.24,99.81,103.07,89.16,"Aug_Urb_21-plot1901",13,2,"SI_Urb_22-48",7.03,11.6,58,"",73,"KEEP",TRUE,57.36,87.13,133.63,38.77,1.56,24.14,479.52
"148","2020-40034",65,70.98,74.57,86.84,96.69,100.87,104.96,89.15,"Aug_Urb_21-plot4815",29,8,"SI_Urb_22-212",7.65,11.3,61.3,"",449,"KEEP",TRUE,58.44,85.45,133.47,38.06,0.98,15.32,498.43
"149","2020-4337",NA,61.31,69.29,73.09,68.48,81.51,77.63,71.89,"Aug_Urb_21-plot2212",12,2,"SI_Urb_22-49",6.11,11.7,61.6,"",72,"KEEP",TRUE,58.21,66.08,131.39,39.4,0.5,6.78,413.14
"150","2020-4869",NA,66.17,70.61,82.2,92.19,94.54,98.73,84.07,"Aug_Urb_21-plot2520",11,2,"SI_Urb_22-50",7.29,11.7,62,"",71,"KEEP",TRUE,59.34,82.32,134.15,38.27,1.02,17.84,474.88
"151","2020-4878",NA,67.7,72.72,82.96,92.19,95.87,97.01,84.74,"Aug_Urb_21-plot2601",10,2,"SI_Urb_22-51",7.34,11.7,62.4,"",70,"KEEP",TRUE,59.53,81.39,132.23,37.59,1.42,20.57,472.19
"152","2020-4907",110,70.55,75.11,85.52,94.71,99.68,99.41,87.5,"Aug_Urb_21-plot2603",9,2,"SI_Urb_22-52",6.34,11.8,60.9,"",69,"KEEP",TRUE,58.88,82.55,133.1,38.86,0.45,8.97,497.27
"153","2020-4951",127,71.27,74.52,85.67,91.21,100.16,99.6,87.07,"Aug_Urb_21-plot2609",8,2,"SI_Urb_22-53",6.96,11.9,60.4,"",68,"KEEP",TRUE,58.46,83.86,133.07,37.3,1.24,16.61,486.63
"154","2020-5056",NA,64.49,72.94,78.45,85.03,88.88,87.06,79.47,"Aug_Urb_21-plot2616",7,2,"SI_Urb_22-54",6.21,11.6,61.8,"",67,"KEEP",TRUE,58.39,74.53,132.13,37,0.92,14.13,446.75
"155","2020-5238",NA,66.9,71.73,82.15,89.53,94.28,97.25,83.64,"Aug_Urb_21-plot2712",6,2,"SI_Urb_22-55",6.75,11.7,62.6,"",66,"KEEP",TRUE,60.25,79.28,132.71,38.02,0.91,11.06,472.2
"156","2020-5250",NA,69.18,73.83,84.15,91.91,97.38,98.58,85.84,"Aug_Urb_21-plot2714",5,2,"SI_Urb_22-56",6.72,11.7,62.7,"",65,"KEEP",TRUE,60.01,81.8,132.62,37.45,0.79,10.1,489.35
"157","2020-5258",NA,64.41,71.96,79.61,87.57,89.6,93.45,81.1,"Aug_Urb_21-plot2715",4,2,"SI_Urb_22-57",6.69,11.5,62.7,"",64,"KEEP",TRUE,59.97,76.47,133.21,37.2,0.39,6.74,464.23
"158","2020-528",NA,67.51,74.15,82.12,87.76,93.16,96.21,83.48,"Aug_Urb_21-plot209",1,1,"SI_Urb_22-1",4.12,0,0,"",1,"KEEP",TRUE,58.95,79.5,133.67,39.19,1.63,29.95,444.55
"159","2020-5308",NA,68.54,75.87,82.56,88.56,94.24,93.9,83.95,"Aug_Urb_21-plot2718",3,2,"SI_Urb_22-58",6.64,12,61.9,"",63,"KEEP",TRUE,59.37,81.4,133.47,38.82,0.51,6.18,489.56
"160","2020-5315",NA,68.58,74.5,82.48,86.25,94.43,94.66,83.48,"Aug_Urb_21-plot2801",2,2,"SI_Urb_22-59",6.16,11.8,61.1,"",62,"KEEP",TRUE,59.81,80.46,133.13,37.96,1.03,15.84,471.44
"161","2020-5361",107,68.89,75.91,85.01,96.43,96.41,103.21,87.64,"Aug_Urb_21-plot2807",1,2,"SI_Urb_22-60",6.7,11.4,61.5,"",61,"KEEP",TRUE,59.12,85.96,133.05,40.47,0.52,8.01,516.59
"162","2020-5369",NA,66.85,71.1,82.9,94.6,96.19,98.37,85,"Aug_Urb_21-plot2808",1,3,"SI_Urb_22-61",6.77,11.4,61.5,"",121,"KEEP",TRUE,58.8,82.26,131.88,38.02,0.62,11.76,497.73
"163","2020-5376",17,74.98,78,90.71,100.71,106.13,110.03,93.43,"Aug_Urb_21-plot2809",2,3,"SI_Urb_22-62",7.66,11.6,61.3,"",122,"KEEP",TRUE,58.45,90.81,132.01,37.24,1.22,19.09,529.24
"164","2020-5416",91,70.88,75.84,86.08,94.19,99.22,102.56,88.13,"Aug_Urb_21-plot2811",3,3,"SI_Urb_22-63",7.95,11.3,62.2,"",123,"KEEP",TRUE,59,84.21,132.39,37.75,0.91,18.62,496.46
"165","2020-5533",NA,67.69,71.31,82.84,90.91,96.45,96.78,84.33,"Aug_Urb_21-plot2903",4,3,"SI_Urb_22-64",6.75,11.2,62.5,"",124,"KEEP",TRUE,59.59,81.74,131.78,37.61,0.21,6.48,505.5
"166","2020-5541",NA,64.85,68.44,79.52,86.68,92.9,90,80.4,"Aug_Urb_21-plot2904",5,3,"SI_Urb_22-65",6.78,11.4,62.5,"",125,"KEEP",TRUE,58.95,76.49,131.76,38.04,0.74,11.64,463.97
"167","2020-5545",135,68.25,72.03,84.53,95.91,97.98,102.16,86.81,"Aug_Urb_21-plot2906",6,3,"SI_Urb_22-66",6.67,11.2,63.2,"",126,"KEEP",TRUE,58.82,84.32,132.28,37.57,0.74,9.54,506.7
"168","2020-571",94,70.34,72.9,86.02,94.99,100.56,103.18,88,"Aug_Urb_21-plot211",2,1,"SI_Urb_22-2",3.76,0,0,"",2,"KEEP",TRUE,59.28,84.17,132.62,39.87,1.34,21.77,485.59
"169","2020-5827",NA,68.95,71.43,84.53,95.46,99.85,98.59,86.47,"Aug_Urb_21-plot3005",7,3,"SI_Urb_22-67",6.5,12,61.5,"",127,"KEEP",TRUE,58.31,83.4,132.92,36.62,1.14,19.25,484.75
"170","2020-5871",136,69.7,74.46,84.87,93.6,98.26,99.88,86.8,"Aug_Urb_21-plot3009",8,3,"SI_Urb_22-68",6.51,11.6,61.6,"",128,"KEEP",TRUE,58.77,83.63,133.19,38.9,0.88,13.06,493.13
"171","2020-6010",108,71.34,74.39,85.95,93.49,101.17,99.22,87.59,"Aug_Urb_21-plot3013",9,3,"SI_Urb_22-69",7.31,12,61.5,"",129,"KEEP",TRUE,58.48,85.92,132.4,38.38,1.45,21.75,494.39
"172","2020-602",NA,67.84,73.75,82.55,88.6,94.22,96.8,83.96,"Aug_Urb_21-plot212",3,1,"SI_Urb_22-3",4.28,0,0,"",3,"KEEP",TRUE,58.24,80.9,133.52,37.99,1.74,28.39,452.17
"173","2020-6103",NA,67.42,74.52,82.82,92.63,94.19,97.68,84.88,"Aug_Urb_21-plot3105",10,3,"SI_Urb_22-70",7.47,11.8,61.5,"",130,"KEEP",TRUE,59.24,81.65,133.43,39.01,1.14,16.14,474.42
"174","2020-6116",129,69.61,73.15,85.15,93.23,98.65,102.27,87.01,"Aug_Urb_21-plot3108",11,3,"SI_Urb_22-71",7.64,11.7,62.5,"",131,"KEEP",TRUE,59.53,84.51,133.89,38.05,1.04,14.43,490.55
"175","2020-6117",87,70.85,72.71,86.47,94.41,101.26,104.27,88.33,"Aug_Urb_21-plot3109",12,3,"SI_Urb_22-72",7.52,12,58.8,"",132,"KEEP",TRUE,57.33,85.18,132.83,36.89,1.33,19.46,480.35
"176","2020-6148",19,75.79,79.31,90.58,99.23,106.49,106.54,92.99,"Aug_Urb_21-plot3112",13,3,"SI_Urb_22-73",7.21,11.9,60.7,"",133,"KEEP",TRUE,58.94,89.89,133.47,40.61,0.95,12.8,525.42
"177","2020-6154",128,71.45,78.21,85.42,91.16,98.02,98.16,87.07,"Aug_Urb_21-plot3113",14,3,"SI_Urb_22-74",6.77,12,61.1,"",134,"KEEP",TRUE,58.95,83.98,133.65,39,0.94,11.34,492.6
"178","2020-6171",118,71.2,76.7,85.49,93.01,99.3,97.8,87.25,"Aug_Urb_21-plot3115",15,3,"SI_Urb_22-75",6.97,11.7,61.1,"mixed with 16",135,"KEEP",TRUE,58.85,83.54,133.07,38.75,0.87,11.64,494.36
"179","2020-6201",NA,67.85,73.98,81.88,85.69,93.37,94.44,82.87,"Aug_Urb_21-plot3119",16,3,"SI_Urb_22-76",6.02,11.8,59.9,"mixed with 15",136,"KEEP",TRUE,58.17,78.15,133.28,37.91,1.22,16.27,454.6
"180","2020-6205",46,71.96,76.05,87.89,99.85,102.53,105.26,90.59,"Aug_Urb_21-plot3202",17,3,"SI_Urb_22-77",6.34,12,61.4,"",137,"KEEP",TRUE,58.97,90.52,132.85,38.92,1.01,14.98,529.81
"181","2020-6223",NA,66.94,73,82.4,90.92,93.83,98.08,84.19,"Aug_Urb_21-plot3203",18,3,"SI_Urb_22-78",6.18,11.9,59.7,"",138,"KEEP",TRUE,58.43,81.35,134.04,37.51,1.31,20.55,463.67
"182","2020-6254",45,72.09,74.82,88.15,98.26,102.86,107.45,90.61,"Aug_Urb_21-plot3209",19,3,"SI_Urb_22-79",5.88,11.6,60.5,"",139,"KEEP",TRUE,58.76,88.33,133.01,35.19,0.81,21.52,515.51
"183","2020-6335",NA,64.87,68.53,81.05,90.22,93.16,98.15,82.66,"Aug_Urb_21-plot3210",20,3,"SI_Urb_22-80",5.22,12,60.8,"",140,"KEEP",TRUE,59.34,79.75,132.91,35.22,1.41,22.21,458.55
"184","2020-6415",98,70.17,71.99,86,95.22,100.96,103.41,87.96,"Aug_Urb_21-plot3213",21,3,"SI_Urb_22-81",5.29,11.7,61.7,"",141,"KEEP",TRUE,59.5,84.76,132.21,37.83,1.08,12.52,501.71
"185","2020-6435",53,70.31,72.28,87.08,99.94,102.22,106.59,89.74,"Aug_Urb_21-plot3216",22,3,"SI_Urb_22-82",6.12,11.9,61.3,"",142,"KEEP",TRUE,58.3,87.58,132.07,36.89,1.54,22.64,503.05
"186","2020-6453",NA,66.12,67.5,82.02,90.27,96.05,98.27,83.37,"Aug_Urb_21-plot3217",23,3,"SI_Urb_22-83",5.75,12.3,61.5,"",143,"KEEP",TRUE,59.6,78.7,132.3,37.03,0.36,5.31,483.52
"187","2020-6633",96,70.74,76.3,85.74,96.27,99.72,99.09,87.98,"Aug_Urb_21-plot3311",24,3,"SI_Urb_22-84",6.86,11.6,62.1,"",144,"KEEP",TRUE,59.19,85.6,132.13,37.36,1.67,24.52,488.56
"188","2020-6909",NA,69.67,73.09,84.86,93.33,99.09,99.71,86.62,"Aug_Urb_21-plot3415",25,3,"SI_Urb_22-85",7.09,11.7,62.2,"",145,"KEEP",TRUE,59.24,85,132.92,39.01,1.11,16.72,495.79
"189","2020-7021",82,70.98,75.28,86.34,95.89,100.4,102.2,88.52,"Aug_Urb_21-plot3508",26,3,"SI_Urb_22-86",7.09,11.9,60.3,"",146,"KEEP",TRUE,58.59,86.07,132.96,38.93,1,13.27,505.67
"190","2020-7024",117,69.58,73.5,85.16,95.32,99.19,100.8,87.26,"Aug_Urb_21-plot3509",27,3,"SI_Urb_22-87",7.34,11.6,62.5,"",147,"KEEP",TRUE,59.89,83.28,133.36,38.48,0.55,7.17,499.63
"191","2020-7035",NA,68.83,70.78,84.41,93.1,99.13,100.25,86.08,"Aug_Urb_21-plot3511",28,3,"SI_Urb_22-88",6.96,11.8,60.8,"",148,"KEEP",TRUE,58.37,84.5,132.13,38.76,0.89,19.08,499.57
"192","2020-7369",112,69.01,71.94,85.12,97.1,99.83,101.35,87.39,"Aug_Urb_21-plot3709",29,3,"SI_Urb_22-89",6.93,11.8,60.5,"",149,"KEEP",TRUE,58.55,84.65,133.41,37.88,0.72,16.27,498.04
"193","2020-7415",NA,66.26,69.94,80.58,85.74,93.78,91.72,81.34,"Aug_Urb_21-plot3710",30,3,"SI_Urb_22-90",6.05,11.4,62.9,"",150,"KEEP",TRUE,60.06,76.28,132.45,40.14,0.19,1.97,473.3
"194","2020-7535",NA,68.31,72.05,83.43,91.62,97.16,97.46,85,"Aug_Urb_21-plot3809",30,4,"SI_Urb_22-91",6.86,11.8,61.8,"",210,"KEEP",TRUE,59.88,82.9,133.48,39.4,1.22,21.54,476.05
"195","2020-7719",70,71.35,74.99,86.85,94.83,100.6,104.87,88.91,"Aug_Urb_21-plot3901",29,4,"SI_Urb_22-92",7.36,11.8,60.9,"",209,"KEEP",TRUE,58.49,86.73,132.5,39.08,1.02,15.33,510.18
"196","2020-7737",58,71.15,75.57,86.95,98.6,101.25,103.48,89.5,"Aug_Urb_21-plot3903",28,4,"SI_Urb_22-93",7.45,11.4,61.8,"",208,"KEEP",TRUE,58.65,88.29,132.25,38.91,1.11,16.39,517.93
"197","2020-7746",NA,62.97,65.93,79.16,89.18,91.79,94.19,80.54,"Aug_Urb_21-plot3906",27,4,"SI_Urb_22-94",6.16,11.5,61.7,"",207,"KEEP",TRUE,59.14,77.06,132.1,36.76,1.02,12.31,460.61
"198","2020-7877",NA,67.84,73.13,82.72,92.47,96.19,94.4,84.46,"Aug_Urb_21-plot3918",26,4,"SI_Urb_22-95",7.35,11.5,61.8,"",206,"KEEP",TRUE,58.35,81.25,131.41,36.36,0.49,9.36,498.28
"199","2020-7917",73,72.59,75.81,87.14,93.65,102.1,101.8,88.85,"Aug_Urb_21-plot3919",25,4,"SI_Urb_22-96",6.92,11.5,63.1,"",205,"KEEP",TRUE,58.78,87.3,131.9,38.36,0.13,4.41,539.81
"200","2020-7954",NA,67.3,70.79,82.08,91.76,96.89,92.25,83.51,"Aug_Urb_21-plot4002",24,4,"SI_Urb_22-97",5.78,11.4,62.3,"",204,"KEEP",TRUE,58.97,80.51,131.27,37.53,0.43,10.1,495.31
"201","2020-8457",NA,63.81,69.34,77.94,82.43,89.29,87.89,78.45,"Aug_Urb_21-plot4113",23,4,"SI_Urb_22-98",5.57,11.7,61.8,"",203,"KEEP",TRUE,59.31,76.42,132.45,38.68,0.46,10.37,464.86
"202","2020-850",NA,67.28,69.33,82.12,86.39,95.63,96.94,82.95,"Aug_Urb_21-plot313",4,1,"SI_Urb_22-4",3.56,0,0,"",4,"KEEP",TRUE,59.41,78.53,133.67,38.62,0.82,14.55,461.86
"203","2020-8608",NA,69.13,72.72,84.29,91.6,97.85,99.73,85.89,"Aug_Urb_21-plot4118",22,4,"SI_Urb_22-99",6.25,11.7,61.4,"",202,"KEEP",TRUE,59.03,82.53,132.79,39.26,1.04,16.46,484.13
"204","2020-8628",NA,68.56,70.05,84.72,92.68,98.64,104.09,86.46,"Aug_Urb_21-plot4201",21,4,"SI_Urb_22-100",6.01,11.8,59.9,"",201,"KEEP",TRUE,58.19,83.92,133.31,39.12,0.52,15.02,498.73
"205","2020-8648",93,70.28,76.22,85.76,95.5,98.39,102.33,88.08,"Aug_Urb_21-plot4202",20,4,"SI_Urb_22-101",5.94,11.8,60.8,"",200,"KEEP",TRUE,58.91,84.98,132.6,39.48,1.28,21.7,491.15
"206","2020-8734",NA,63.51,70.85,78.89,86.98,88.67,93.03,80.32,"Aug_Urb_21-plot4211",19,4,"SI_Urb_22-102",6.05,11.9,61.1,"",199,"KEEP",TRUE,59.48,76.63,134.11,38.28,1.22,21.7,438.34
"207","2020-8754",99,70.21,72.07,86.06,94.18,100.49,104.64,87.94,"Aug_Urb_21-plot4213",18,4,"SI_Urb_22-103",6.07,11.9,60,"",198,"KEEP",TRUE,58.83,84.97,133.61,36.11,0.73,11.58,501.87
"208","2020-8922",NA,67.53,69.09,82.97,91.08,97.69,97.63,84.33,"Aug_Urb_21-plot4305",17,4,"SI_Urb_22-104",6.38,11.6,62.7,"",197,"KEEP",TRUE,59.63,81.07,133.46,36.69,1.24,18.49,467.78
"209","2020-9168",NA,69.58,74.48,83.94,92.55,98.25,94.53,85.56,"Aug_Urb_21-plot4408",16,4,"SI_Urb_22-105",6.42,11.3,62.1,"",196,"KEEP",TRUE,59.08,81.91,131.57,38.26,0.57,9.3,499.98
"210","2020-9242",NA,65.53,71.64,79.64,81.92,89.98,92.65,80.23,"Aug_Urb_21-plot4415",15,4,"SI_Urb_22-106",7.28,11.7,61.4,"",195,"KEEP",TRUE,59.28,77.33,134.2,39.07,0.7,9.02,457.53
"211","2020-927",NA,62.41,68.7,78.46,88.73,88.83,93.37,80.08,"Aug_Urb_21-plot316",5,1,"SI_Urb_22-5",2.58,0,0,"",5,"KEEP",TRUE,58.35,77.37,132.8,38.08,1.15,20.89,451.12
"212","2020-9376",62,72.27,75.89,87.2,95.41,102,102.41,89.2,"Aug_Urb_21-plot4510",14,4,"SI_Urb_22-107",6.71,11.7,59.4,"",194,"KEEP",TRUE,57.59,86.93,132.05,38.78,1.07,15.33,505.67
"213","2020-9638",NA,67.42,75.35,82.72,92.31,93.52,97.52,84.81,"Aug_Urb_21-plot4609",13,4,"SI_Urb_22-108",6.96,11.7,61.5,"",193,"KEEP",TRUE,58.82,82.28,132.18,37.72,0.92,11.84,491.16
"214","2020-9801",39,72.48,74.97,88.42,98.18,103.38,107.5,90.82,"Aug_Urb_21-plot4701",12,4,"SI_Urb_22-109",7.95,11.6,61.6,"",192,"KEEP",TRUE,59.05,87.38,132.74,37.47,1.16,19.45,507.13
"215","2020-9818",NA,67.09,71.95,82.31,89.92,94.59,97.17,83.84,"Aug_Urb_21-plot4702",11,4,"SI_Urb_22-110",7.33,11.2,62.5,"",191,"KEEP",TRUE,59.06,81,131.88,36.81,1.09,19.23,478.18
"216","2020-9828",137,69.57,72.91,84.97,93.36,98.92,100.96,86.78,"Aug_Urb_21-plot4705",10,4,"SI_Urb_22-111",7.26,11.6,62.2,"",190,"KEEP",TRUE,59.18,84.31,132.03,37.9,1.64,21.48,484.78
"217","2020-9856",115,69.88,69.6,85.72,93.55,101.58,103.54,87.31,"Aug_Urb_21-plot4708",9,4,"SI_Urb_22-112",7.99,11.6,62.2,"",189,"KEEP",TRUE,58.42,83.38,133.38,37.78,1.08,16.47,484.96
"218","2020-9945",74,70.98,72.76,86.77,96.28,102.08,104.15,88.84,"Aug_Urb_21-plot4720",8,4,"SI_Urb_22-113",7.28,11.5,61.7,"",188,"KEEP",TRUE,58.19,86.55,134.01,33.35,1.25,19.7,493.84
