"","x"
"1499","17-31141"
"1500","17-31145"
"1501","17-31149"
"1502","17-31154"
"1503","17-31155"
"1504","17-31161"
"1505","17-31219"
"1506","17-31220"
"1507","17-31229"
"1508","17-31267"
"1509","17-31276"
"1510","17-31279"
"1511","17-31309"
"1512","17-31329"
"1513","17-31370"
"1514","17-31374"
"1515","17-31376"
"1516","17-31444"
"1517","17-31453"
"1518","17-31472"
"1519","17-31516"
"1520","17-31518"
"1521","17-31520"
"1522","17-31521"
"1523","17-31529"
"1524","17-31535"
"1525","17-31538"
"1526","17-31541"
"1527","17-31542"
"1528","17-31553"
"1529","17-31555"
"1530","17-31558"
"1531","17-31560"
"1532","17-31604"
"1533","17-31616"
"1534","17-31622"
"1535","17-31624"
"1536","17-31648"
"1537","07-19334"
"1538","17-21039"
"1539","17-31870"
"1540","17-411"
"1541","17-425"
"1542","17-426"
"1543","17-427"
"1544","17-4415"
"1545","17-41768"
"1546","17-3264"
"1547","17-1664"
"1548","17-1662"
"1549","17-1456"
"1550","17-519"
"1551","17-832"
"1552","Kaskaskia"
"1553","16-8048"
"1554","16-10427"
"1555","16-11226"
"1556","16-36048"
"1557","16-36176"
"1558","16-36206"
"1559","US16-IL-065-030"
"1560","US16-IL-065-109"
"1561","US16-IL-065-111"
"1562","US16-IL-065-125"
"1563","15-2639"
"1564","16-35719"
"1565","OH13-88-61"
"1566","OH15-191-52"
"1567","Pio25R74"
"1568","16-8737"
"1569","16-18648"
"1570","16-21764"
"1571","16-30848"
"1572","17-8057"
"1573","17-9320"
"1574","US16-IL-061-029"
"1575","US16-IL-061-074"
"1576","US16-IL-061-132"
"1577","US16-IL-061-179"
"1578","US16-IL-062-031"
"1579","US16-IL-062-068"
"1580","US16-IL-062-071"
"1581","US16-IL-062-097"
"1582","US16-IL-062-109"
"1583","US16-IL-063-003"
"1584","US16-IL-063-154"
"1585","US16-IL-064-005"
"1586","US16-IL-064-083"
"1587","US16-IL-064-095"
"1588","US16-IL-064-137"
"1589","US16-IL-064-160"
"1590","US16-IL-064-199"
"1591","US16-IL-064-204"
"1592","US16-IL-064-229"
"1593","US16-IL-064-234"
"1594","US16-IL-064-235"
"1595","US16-IL-064-240"
"1596","US16-IL-065-019"
"1597","US16-IL-065-031"
"1598","US16-IL-065-032"
"1599","US16-IL-065-034"
"1600","US16-IL-065-037"
"1601","US16-IL-065-076"
"1602","US16-IL-065-094"
"1603","US16-IL-065-104"
"1604","US16-IL-065-107"
"1605","US16-IL-065-113"
"1606","US16-IL-066-044"
"1607","US16-IL-066-090"
"1608","18-370"
"1609","18-827"
"1610","18-842"
"1611","18-870"
"1612","18-904"
"1613","18-956"
"1614","18-957"
"1615","18-1010"
"1616","18-1050"
"1617","18-1108"
"1618","18-1250"
"1619","18-1435"
"1620","18-1577"
"1621","18-2408"
"1622","18-2610"
"1623","18-2616"
"1624","18-2677"
"1625","18-2872"
"1626","18-3238"
"1627","18-3312"
"1628","18-3314"
"1629","18-3977"
"1630","18-4022"
"1631","18-4360"
"1632","18-4405"
"1633","18-4425"
"1634","18-4614"
"1635","18-4679"
"1636","18-4772"
"1637","18-4910"
"1638","18-5066"
"1639","18-5160"
"1640","18-5176"
"1641","18-5270"
"1642","18-5304"
"1643","18-5625"
"1644","18-5737"
"1645","18-5837"
"1646","18-6079"
"1647","18-6242"
"1648","18-6274"
"1649","18-6551"
"1650","18-6555"
"1651","18-6651"
"1652","18-6852"
"1653","18-6860"
"1654","18-7071"
"1655","18-7235"
"1656","18-7320"
"1657","18-7364"
"1658","18-7417"
"1659","18-7518"
"1660","18-7562"
"1661","18-7632"
"1662","18-7675"
"1663","18-7750"
"1664","18-7752"
"1665","18-7811"
"1666","18-7836"
"1667","18-7848"
"1668","18-7928"
"1669","18-7943"
"1670","18-8008"
"1671","18-8035"
"1672","18-8039"
"1673","18-8051"
"1674","18-8066"
"1675","18-8138"
"1676","18-8149"
"1677","18-8174"
"1678","18-8328"
"1679","18-8359"
"1680","18-8632"
"1681","18-8850"
"1682","18-8907"
"1683","18-8917"
"1684","18-9009"
"1685","18-9035"
"1686","18-9355"
"1687","18-9722"
"1688","18-9724"
"1689","18-9949"
"1690","18-9973"
"1691","18-10148"
"1692","18-10212"
"1693","18-10216"
"1694","18-10732"
"1695","18-10753"
"1696","18-10767"
"1697","18-10768"
"1698","18-10915"
"1699","18-11016"
"1700","18-11122"
"1701","18-11141"
"1702","18-11146"
"1703","18-11533"
"1704","18-11535"
"1705","18-11815"
"1706","18-12001"
"1707","18-12022"
"1708","18-12068"
"1709","18-12360"
"1710","18-12563"
"1711","18-12568"
"1712","18-12610"
"1713","18-12627"
"1714","18-12636"
"1715","18-12729"
"1716","18-12743"
"1717","18-12756"
"1718","18-12772"
"1719","18-12804"
"1720","18-12809"
"1721","18-13012"
"1722","18-13061"
"1723","18-13117"
"1724","18-13237"
"1725","18-13333"
"1726","18-13372"
"1727","18-13420"
"1728","18-13635"
"1729","18-13736"
"1730","18-13742"
"1731","18-13748"
"1732","18-13756"
"1733","18-13764"
"1734","18-13765"
"1735","18-13846"
"1736","18-13852"
"1737","18-13954"
"1738","18-13962"
"1739","18-13965"
"1740","18-14035"
"1741","18-14054"
"1742","18-14132"
"1743","18-14141"
"1744","18-14209"
"1745","18-14238"
"1746","18-14308"
"1747","18-14311"
"1748","18-14331"
"1749","18-14362"
"1750","18-14363"
"1751","18-14524"
"1752","18-14532"
"1753","18-14535"
"1754","18-14538"
"1755","18-14620"
"1756","18-14647"
"1757","18-14905"
"1758","18-14932"
"1759","18-15021"
"1760","18-15042"
"1761","18-15135"
"1762","18-15157"
"1763","18-15172"
"1764","18-15271"
"1765","18-15275"
"1766","18-15357"
"1767","18-15372"
"1768","18-15567"
"1769","18-15708"
"1770","18-15716"
"1771","18-15957"
"1772","18-16216"
"1773","18-16254"
"1774","18-16272"
"1775","18-16312"
"1776","18-16345"
"1777","18-16368"
"1778","18-16479"
"1779","18-16552"
"1780","18-16662"
"1781","18-16663"
"1782","18-16756"
"1783","18-16827"
"1784","18-16828"
"1785","18-16837"
"1786","18-16860"
"1787","18-17108"
"1788","18-17119"
"1789","18-17141"
"1790","18-17244"
"1791","18-17853"
"1792","18-17905"
"1793","18-17971"
"1794","18-18116"
"1795","18-18235"
"1796","18-18455"
"1797","18-19625"
"1798","18-19667"
"1799","18-19907"
"1800","18-20729"
"1801","18-20951"
"1802","18-21154"
"1803","18-21275"
"1804","18-21736"
"1805","18-21916"
"1806","18-22132"
"1807","18-22144"
"1808","18-22424"
"1809","18-22750"
"1810","18-22767"
"1811","18-22976"
"1812","18-23224"
"1813","18-23760"
"1814","18-23779"
"1815","18-23814"
"1816","18-23819"
"1817","18-24004"
"1818","18-24173"
"1819","18-24331"
"1820","18-24375"
"1821","18-24412"
"1822","18-25236"
"1823","18-25521"
"1824","18-25636"
"1825","18-25959"
"1826","18-26037"
"1827","18-26107"
"1828","18-26766"
"1829","18-27251"
"1830","18-27460"
"1831","18-27536"
"1832","18-28159"
"1833","18-28930"
"1834","18-28931"
"1835","18-28972"
"1836","18MSFRS-18"
"1837","18MSFRS-29"
"1838","18MSFRS-32"
"1839","18MSFRS-36"
"1840","18MSFRS-50"
"1841","18MSFRS-53"
"1842","18MSFRS-60"
"1843","18MSFRS-66"
"1844","US16-IL-061-032"
"1845","US16-IL-061-046"
"1846","US16-IL-061-068"
"1847","US16-IL-061-075"
"1848","US16-IL-061-077"
"1849","US16-IL-061-083"
"1850","US16-IL-061-100"
"1851","US16-IL-061-102"
"1852","US16-IL-061-158"
"1853","US16-IL-061-162"
"1854","US16-IL-063-008"
"1855","US16-IL-063-026"
"1856","US16-IL-063-030"
"1857","US16-IL-063-049"
"1858","US16-IL-063-063"
"1859","US16-IL-063-177"
"1860","US16-IL-063-234"
"1861","US16-IL-063-242"
"1862","US16-IL-064-029"
"1863","US16-IL-064-065"
"1864","US16-IL-064-121"
"1865","US16-IL-064-168"
"1866","US16-IL-064-230"
"1867","US16-IL-064-248"
"1868","US16-IL-065-010"
"1869","US17-IL-108-002"
"1870","US17-IL-108-003"
"1871","US17-IL-108-005"
"1872","US17-IL-108-011"
"1873","US17-IL-108-020"
"1874","US17-IL-108-035"
"1875","US17-IL-108-039"
"1876","US17-IL-108-047"
"1877","US17-IL-108-050"
"1878","US17-IL-108-059"
"1879","US17-IL-108-065"
"1880","US17-IL-108-068"
"1881","US17-IL-108-070"
"1882","US17-IL-109-038"
"1883","US17-IL-109-046"
"1884","US17-IL-109-056"
"1885","US17-IL-110-003"
"1886","US17-IL-110-005"
"1887","US17-IL-110-040"
"1888","US17-IL-110-041"
"1889","US17-IL-110-059"
"1890","US17-IL-110-060"
"1891","US17-IL-111-002"
"1892","US17-IL-111-005"
"1893","US17-IL-111-006"
"1894","US17-IL-111-007"
"1895","US17-IL-111-008"
"1896","US17-IL-111-012"
"1897","US17-IL-111-013"
"1898","US17-IL-111-015"
"1899","US17-IL-111-018"
"1900","US17-IL-111-019"
"1901","US17-IL-111-024"
"1902","US17-IL-111-025"
"1903","US17-IL-111-028"
"1904","US17-IL-111-029"
"1905","US17-IL-111-031"
"1906","US17-IL-111-034"
"1907","US17-IL-111-035"
"1908","US17-IL-111-036"
"1909","US17-IL-111-042"
"1910","US17-IL-111-049"
"1911","US17-IL-112-002"
"1912","US17-IL-112-013"
"1913","US17-IL-112-018"
"1914","US17-IL-112-027"
"1915","US17-IL-112-029"
"1916","US17-IL-112-030"
"1917","US17-IL-112-035"
"1918","US17-IL-112-059"
"1919","19-2277"
"1920","19-2401"
"1921","19-2435"
"1922","19-2513"
"1923","19-2518"
"1924","19-2533"
"1925","19-2552"
"1926","19-2672"
"1927","19-2904"
"1928","19-2909"
"1929","19-2920"
"1930","19-3077"
"1931","19-3269"
"1932","19-3453"
"1933","19-3457"
"1934","19-3462"
"1935","19-3470"
"1936","19-3474"
"1937","19-3502"
"1938","19-3505"
"1939","19-3510"
"1940","19-3514"
"1941","19-3528"
"1942","19-3535"
"1943","19-3538"
"1944","19-3661"
"1945","19-3671"
"1946","19-3818"
"1947","19-3868"
"1948","19-3904"
"1949","19-3920"
"1950","19-3926"
"1951","19-3933"
"1952","19-3937"
"1953","19-3943"
"1954","19-3948"
"1955","19-3949"
"1956","19-3955"
"1957","19-4014"
"1958","19-4122"
"1959","19-4127"
"1960","19-4134"
"1961","19-4141"
"1962","19-4151"
"1963","19-4172"
"1964","19-4176"
"1965","19-4220"
"1966","19-4224"
"1967","19-4228"
"1968","19-4236"
"1969","19-4238"
"1970","19-4401"
"1971","19-4457"
"1972","19-4462"
"1973","19-4741"
"1974","19-4747"
"1975","19-4832"
"1976","19-4959"
"1977","19-4865"
"1978","19-5009"
"1979","19-5025"
"1980","19-5028"
"1981","19-5033"
"1982","19-5041"
"1983","19-5049"
"1984","19-5079"
"1985","19-5113"
"1986","19-5117"
"1987","19-5122"
"1988","19-5126"
"1989","19-5138"
"1990","19-5142"
"1991","19-5152"
"1992","19-5158"
"1993","19-5178"
"1994","19-5217"
"1995","19-5222"
"1996","19-5256"
"1997","19-5274"
"1998","19-5341"
"1999","19-5417"
"2000","19-5421"
"2001","19-5441"
"2002","19-5458"
"2003","19-5466"
"2004","19-5549"
"2005","19-5558"
"2006","19-5632"
"2007","19-5637"
"2008","19-5848"
"2009","19-5856"
"2010","19-5861"
"2011","19-5959"
"2012","19-6019"
"2013","19-6031"
"2014","19-6034"
"2015","19-6113"
"2016","19-6203"
"2017","19-6221"
"2018","19-6233"
"2019","19-6249"
"2020","19-6255"
"2021","19-6308"
"2022","19-6303"
"2023","19-6418"
"2024","19-6504"
"2025","19-6517"
"2026","19-6526"
"2027","19-6532"
"2028","19-6533"
"2029","19-6545"
"2030","19-6548"
"2031","19-6549"
"2032","19-6552"
"2033","19-6559"
"2034","19-6566"
"2035","19-6567"
"2036","19-6572"
"2037","19-6603"
"2038","19-6607"
"2039","19-6625"
"2040","19-6637"
"2041","19-6658"
"2042","19-6675"
"2043","19-6704"
"2044","19-6748"
"2045","19-6846"
"2046","19-6851"
"2047","19-6946"
"2048","19-6948"
"2049","19-6949"
"2050","19-6951"
"2051","19-7059"
"2052","19-7058"
"2053","19-7101"
"2054","19-7103"
"2055","19-7142"
"2056","19-7154"
"2057","19-7210"
"2058","19-7216"
"2059","19-7226"
"2060","19-7252"
"2061","19-7258"
"2062","19-7303"
"2063","19-7307"
"2064","19-7356"
"2065","19-7411"
"2066","19-7436"
"2067","19-7452"
"2068","19-7457"
"2069","19-7461"
"2070","19-7501"
"2071","19-7503"
"2072","19-7557"
"2073","19-7562"
"2074","19-7568"
"2075","19-7574"
"2076","19-7609"
"2077","19-7641"
"2078","19-7672"
"2079","19-7674"
"2080","19-7750"
"2081","19-7751"
"2082","19-7815"
"2083","19-7826"
"2084","19-7846"
"2085","19-7847"
"2086","19-7853"
"2087","19-7854"
"2088","19-7945"
"2089","19-8449"
"2090","19-8477"
"2091","19-8526"
"2092","19-8531"
"2093","19-8533"
"2094","19-8626"
"2095","19-8629"
"2096","19-8660"
"2097","19-8708"
"2098","19-8742"
"2099","19-8719"
"2100","19-8735"
"2101","19-8744"
"2102","19-8745"
"2103","19-8807"
"2104","19-8811"
"2105","19-8815"
"2106","19-8817"
"2107","19-8827"
"2108","19-8853"
"2109","19-8870"
"2110","19-8871"
"2111","19-8909"
"2112","19-8914"
"2113","19-8917"
"2114","19-8918"
"2115","19-8928"
"2116","19-8937"
"2117","19-8949"
"2118","19-9019"
"2119","19-9057"
"2120","19-9234"
"2121","19-9268"
"2122","19-9346"
"2123","19-9467"
"2124","19-9468"
"2125","19-9577"
"2126","19-9601"
"2127","19-9602"
"2128","19-9608"
"2129","19-9615"
"2130","19-9619"
"2131","19-9628"
"2132","19-9632"
"2133","19-9665"
"2134","19-9666"
"2135","19-9053"
"2136","19-9708"
"2137","19-9764"
"2138","19-10056"
"2139","19-10064"
"2140","19-10123"
"2141","19-10136"
"2142","19-10141"
"2143","19-10142"
"2144","19-10151"
"2145","19-10168"
"2146","19-10169"
"2147","19-10173"
"2148","19-10206"
"2149","19-10236"
"2150","19-10243"
"2151","19-10259"
"2152","19-10404"
"2153","19-10427"
"2154","19-10448"
"2155","19-10450"
"2156","19-10849"
"2157","19-10856"
"2158","19-10904"
"2159","19-10905"
"2160","19-10906"
"2161","19-10917"
"2162","19-10925"
"2163","19-10929"
"2164","19-10931"
"2165","19-10956"
"2166","19-11061"
"2167","19-11117"
"2168","19-11119"
"2169","19-11176"
"2170","19-11216"
"2171","19-11219"
"2172","19-11316"
"2173","19-11325"
"2174","19-11336"
"2175","19-11339"
"2176","19-11346"
"2177","19-11351"
"2178","19-11354"
"2179","19-11374"
"2180","19-11401"
"2181","19-11412"
"2182","19-11414"
"2183","19-11429"
"2184","19-11431"
"2185","19-11460"
"2186","19-11463"
"2187","19-11466"
"2188","19-11471"
"2189","19-11474"
"2190","19-11479"
"2191","19-11541"
"2192","19-11550"
"2193","19-11555"
"2194","19-11557"
"2195","19-11564"
"2196","19-11570"
"2197","19-11572"
"2198","19-11576"
"2199","19-11578"
"2200","19-11614"
"2201","19-11641"
"2202","19-11645"
"2203","19-11647"
"2204","19-11651"
"2205","19-11656"
"2206","19-11660"
"2207","19-11669"
"2208","19-11670"
"2209","19-11672"
"2210","19-11732"
"2211","19-11737"
"2212","19-11742"
"2213","19-11757"
"2214","19-11770"
"2215","19-11773"
"2216","19-11804"
"2217","19-11901"
"2218","19-11920"
"2219","19-12016"
"2220","19-12017"
"2221","19-12030"
"2222","19-12035"
"2223","19-12062"
"2224","19-12121"
"2225","19-12154"
"2226","19-12233"
"2227","19-12301"
"2228","19-12314"
"2229","19-12321"
"2230","19-12324"
"2231","19-12336"
"2232","19-12356"
"2233","19-12357"
"2234","19-12360"
"2235","19-12415"
"2236","19-12420"
"2237","19-12428"
"2238","19-12429"
"2239","19-12506"
"2240","19-12533"
"2241","19-12559"
"2242","19-12565"
"2243","19-12573"
"2244","19-12604"
"2245","19-12615"
"2246","19-12622"
"2247","19-12629"
"2248","19-12636"
"2249","19-12659"
"2250","19-12665"
"2251","19-12674"
"2252","19-12713"
"2253","19-12714"
"2254","19-12723"
"2255","19-12749"
"2256","19-12750"
"2257","19-12755"
"2258","19-12763"
"2259","19-12817"
"2260","19-12822"
"2261","19-12825"
"2262","19-12826"
"2263","19-12839"
"2264","19-12830"
"2265","19-12834"
"2266","19-12841"
"2267","19-12846"
"2268","19-12849"
"2269","19-12850"
"2270","19-12856"
"2271","19-12901"
"2272","19-12912"
"2273","19-12921"
"2274","19-12926"
"2275","19-12933"
"2276","19-12935"
"2277","19-12936"
"2278","19-12944"
"2279","19-13041"
"2280","19-13045"
"2281","19-13048"
"2282","19-13060"
"2283","19-13056"
"2284","19-13062"
"2285","19-13147"
"2286","19-13151"
"2287","19-13155"
"2288","19-13157"
"2289","19-13158"
"2290","19-13169"
"2291","19-13172"
"2292","19-13173"
"2293","19-13177"
"2294","19-13247"
"2295","19-13249"
"2296","19-13253"
"2297","19-13256"
"2298","19-13268"
"2299","19-13267"
"2300","19-13274"
"2301","19-13276"
"2302","19-13277"
"2303","19-13278"
"2304","19-13304"
"2305","19-13309"
"2306","19-13319"
"2307","19-13323"
"2308","19-13327"
"2309","19-13330"
"2310","19-13335"
"2311","19-13342"
"2312","19-13347"
"2313","19-13349"
"2314","19-13351"
"2315","19-13355"
"2316","19-13361"
"2317","19-13406"
"2318","19-13414"
"2319","19-13418"
"2320","19-13430"
"2321","19-13431"
"2322","19-13433"
"2323","19-13434"
"2324","19-13450"
"2325","19-13447"
"2326","19-13451"
"2327","19-13453"
"2328","19-13458"
"2329","19-13619"
"2330","19-13541"
"2331","19-13621"
"2332","19-13654"
"2333","19-13676"
"2334","19-13706"
"2335","19-13707"
"2336","19-13713"
"2337","19-13722"
"2338","19-13736"
"2339","19-13737"
"2340","19-13744"
"2341","19-13748"
"2342","19-13752"
"2343","19-13778"
"2344","19-13801"
"2345","19-13817"
"2346","19-13837"
"2347","19-13873"
"2348","19-13877"
"2349","19-13905"
"2350","19-13925"
"2351","19-13936"
"2352","19-13942"
"2353","19-13948"
"2354","19-13952"
"2355","19-13954"
"2356","19-13959"
"2357","19-13960"
"2358","19-13961"
"2359","19-13965"
"2360","19-13972"
"2361","19-13974"
"2362","19-13978"
"2363","19-14038"
"2364","19-14073"
"2365","19-14078"
"2366","19-14079"
"2367","19-14216"
"2368","19-14221"
"2369","19-14226"
"2370","19-14343"
"2371","19-14352"
"2372","19-14355"
"2373","19-14359"
"2374","19-14361"
"2375","19-14437"
"2376","19-14441"
"2377","19-14461"
"2378","19-14473"
"2379","19-14457"
"2380","19-14501"
"2381","19-14502"
"2382","19-14513"
"2383","19-14539"
"2384","19-14605"
"2385","19-14613"
"2386","19-14617"
"2387","19-14633"
"2388","19-14641"
"2389","19-14646"
"2390","19-14658"
"2391","19-14666"
"2392","19-14705"
"2393","19-14713"
"2394","19-14717"
"2395","19-14722"
"2396","19-14745"
"2397","19-14765"
"2398","19-14803"
"2399","19-14845"
"2400","19-14856"
"2401","19-14925"
"2402","19-14926"
"2403","19-14933"
"2404","19-14937"
"2405","19-14970"
"2406","19-14978"
"2407","19-15009"
"2408","19-15014"
"2409","19-15017"
"2410","19-15033"
"2411","19-15037"
"2412","19-15201"
"2413","19-15204"
"2414","19-15209"
"2415","19-15213"
"2416","19-15218"
"2417","19-15228"
"2418","19-15231"
"2419","19-15254"
"2420","19-15317"
"2421","19-15327"
"2422","19-15330"
"2423","19-15333"
"2424","19-15338"
"2425","19-15344"
"2426","19-15466"
"2427","19-15472"
"2428","19-15477"
"2429","19-15634"
"2430","19-15712"
"2431","19-15723"
"2432","19-15728"
"2433","19-15730"
"2434","19-15734"
"2435","19-15747"
"2436","19-15751"
"2437","19-15928"
"2438","19-15929"
"2439","19-15936"
"2440","19-15937"
"2441","19-16006"
"2442","19-16016"
"2443","19-16023"
"2444","19-16028"
"2445","19-16030"
"2446","19-16038"
"2447","19-16046"
"2448","19-16054"
"2449","19-16059"
"2450","19-16064"
"2451","19-16068"
"2452","19-16076"
"2453","19-16107"
"2454","19-16112"
"2455","19-16129"
"2456","19-16136"
"2457","19-16139"
"2458","19-16142"
"2459","19-16145"
"2460","19-16152"
"2461","19-16176"
"2462","19-16179"
"2463","19-16202"
"2464","19-16203"
"2465","19-16207"
"2466","19-16209"
"2467","19-16236"
"2468","19-16235"
"2469","19-16238"
"2470","19-16255"
"2471","19-16271"
"2472","19-16279"
"2473","19-16306"
"2474","19-16312"
"2475","19-16325"
"2476","19-16335"
"2477","19-16339"
"2478","19-16344"
"2479","19-16358"
"2480","19-16364"
"2481","19-16368"
"2482","19-16371"
"2483","19-16376"
"2484","19-16404"
"2485","19-16409"
"2486","19-16413"
"2487","19-16421"
"2488","19-16723"
"2489","19-16737"
"2490","19-16748"
"2491","19-16848"
"2492","19-16856"
"2493","19-16860"
"2494","19-16878"
"2495","19-16953"
"2496","19-17009"
"2497","19-17038"
"2498","19-17041"
"2499","19-17043"
"2500","19-17048"
"2501","19-17051"
"2502","19-17052"
"2503","19-17053"
"2504","19-17105"
"2505","19-17212"
"2506","19-17237"
"2507","19-17145"
"2508","19-17201"
"2509","19-17534"
"2510","19-17546"
"2511","19-17548"
"2512","19-17551"
"2513","19-17569"
"2514","19-17603"
"2515","19-17637"
"2516","19-17649"
"2517","19-17662"
"2518","19-17674"
"2519","19-17675"
"2520","19-17702"
"2521","19-17710"
"2522","19-17721"
"2523","19-17744"
"2524","19-17754"
"2525","19-17779"
"2526","19-17813"
"2527","19-17815"
"2528","19-17817"
"2529","19-17823"
"2530","19-17828"
"2531","19-17829"
"2532","19-17932"
"2533","19-17929"
"2534","19-17946"
"2535","19-18024"
"2536","19-18033"
"2537","19-18141"
"2538","19-18142"
"2539","19-18145"
"2540","19-18151"
"2541","19-18152"
"2542","19-18153"
"2543","19-18156"
"2544","19-18157"
"2545","19-18326"
"2546","19-18329"
"2547","19-18328"
"2548","19-18721"
"2549","19-18725"
"2550","19-18813"
"2551","19-18826"
"2552","19-18830"
"2553","19-18832"
"2554","19-18837"
"2555","19-18865"
"2556","19-18875"
"2557","19-18877"
"2558","19-18902"
"2559","19-18906"
"2560","19-18905"
"2561","19-18907"
"2562","19-18917"
"2563","19-18938"
"2564","19-18954"
"2565","19-18957"
"2566","19-18958"
"2567","19-18972"
"2568","19-19146"
"2569","19-19159"
"2570","19-19160"
"2571","19-19172"
"2572","19-19205"
"2573","19-19221"
"2574","19-19225"
"2575","19-19226"
"2576","19-19229"
"2577","19-19248"
"2578","19-19258"
"2579","19-19260"
"2580","19-19274"
"2581","19-19276"
"2582","19-19217"
"2583","19-19324"
"2584","19-19327"
"2585","19-19341"
"2586","19-19413"
"2587","19-19528"
"2588","19-19533"
"2589","19-19542"
"2590","19-19543"
"2591","19-19546"
"2592","19-19579"
"2593","19-19636"
"2594","19-19810"
"2595","19-20068"
"2596","19-20069"
"2597","19-20079"
"2598","19-20203"
"2599","19-20205"
"2600","19-20218"
"2601","19-20231"
"2602","19-20306"
"2603","19-20311"
"2604","19-20314"
"2605","19-20315"
"2606","19-20318"
"2607","19-20320"
"2608","19-20326"
"2609","19-20337"
"2610","19-20342"
"2611","19-20347"
"2612","19-20348"
"2613","19-20350"
"2614","19-20353"
"2615","19-20355"
"2616","19-20363"
"2617","19-20365"
"2618","19-20366"
"2619","19-20402"
"2620","19-20471"
"2621","19-20476"
"2622","19-20478"
"2623","19-20475"
"2624","19-20544"
"2625","19-20547"
"2626","19-20549"
"2627","19-20550"
"2628","19-20561"
"2629","19-20562"
"2630","19-20613"
"2631","19-20641"
"2632","19-20648"
"2633","19-20650"
"2634","19-20861"
"2635","19-21061"
"2636","19-21262"
"2637","19-21312"
"2638","19-21337"
"2639","19-21341"
"2640","19-21358"
"2641","19-21360"
"2642","19-21364"
"2643","19-21372"
"2644","19-21373"
"2645","19-21403"
"2646","19-21414"
"2647","19-21418"
"2648","19-21425"
"2649","19-21431"
"2650","19-21445"
"2651","19-21441"
"2652","19-21442"
"2653","19-21446"
"2654","19-21449"
"2655","19-21459"
"2656","19-21462"
"2657","19-21464"
"2658","19-21467"
"2659","19-21468"
"2660","19-21470"
"2661","19-21472"
"2662","19-21507"
"2663","19-21513"
"2664","19-21518"
"2665","19-21522"
"2666","19-21535"
"2667","19-21539"
"2668","19-21541"
"2669","19-21544"
"2670","19-21548"
"2671","19-21549"
"2672","19-21551"
"2673","19-21556"
"2674","19-21559"
"2675","19-21566"
"2676","19-21570"
"2677","19-21572"
"2678","19-21574"
"2679","19-21575"
"2680","19-21625"
"2681","19-21632"
"2682","19-21633"
"2683","19-21629"
"2684","19-21637"
"2685","19-21652"
"2686","19-21666"
"2687","19-21677"
"2688","19-21678"
"2689","19-21704"
"2690","19-21709"
"2691","19-21717"
"2692","19-21720"
"2693","19-21722"
"2694","19-21724"
"2695","19-21731"
"2696","19-21744"
"2697","19-21756"
"2698","19-21760"
"2699","19-21764"
"2700","19-21765"
"2701","19-21815"
"2702","19-21821"
"2703","19-21829"
"2704","19-21842"
"2705","19-21846"
"2706","19-21848"
"2707","19-21850"
"2708","19-21864"
"2709","19-21865"
"2710","19-21902"
"2711","19-21906"
"2712","19-21909"
"2713","19-21916"
"2714","19-21919"
"2715","19-21924"
"2716","19-21925"
"2717","19-21945"
"2718","19-21967"
"2719","19-22006"
"2720","19-22024"
"2721","19-22018"
"2722","19-22027"
"2723","19-22031"
"2724","19-22077"
"2725","19-22105"
"2726","19-22112"
"2727","19-22114"
"2728","19-22124"
"2729","19-22125"
"2730","19-22533"
"2731","19-22541"
"2732","19-22550"
"2733","19-22609"
"2734","19-22613"
"2735","19-22649"
"2736","19-22665"
"2737","19-22621"
"2738","19-22645"
"2739","19-22660"
"2740","19-22712"
"2741","19-22716"
"2742","19-22718"
"2743","19-22725"
"2744","19-22741"
"2745","19-22742"
"2746","19-22764"
"2747","19-22704"
"2748","19-22707"
"2749","19-22713"
"2750","19-22744"
"2751","19-22745"
"2752","19-22757"
"2753","19-22767"
"2754","19-22853"
"2755","19-22846"
"2756","19-22866"
"2757","19-22874"
"2758","19-22922"
"2759","19-22932"
"2760","19-22937"
"2761","19-22944"
"2762","19-22952"
"2763","19-22975"
"2764","19-23012"
"2765","19-23016"
"2766","19-23019"
"2767","19-23021"
"2768","19-23055"
"2769","19-23059"
"2770","19-23064"
"2771","19-23065"
"2772","19-23069"
"2773","19-23074"
"2774","19-23077"
"2775","19-23112"
"2776","19-23114"
"2777","19-23143"
"2778","19-23145"
"2779","19-23201"
"2780","19-23246"
"2781","19-23251"
"2782","19-23253"
"2783","19-23329"
"2784","19-23336"
"2785","19-23337"
"2786","19-23345"
"2787","19-23350"
"2788","19-23711"
"2789","19-23714"
"2790","19-23716"
"2791","19-23776"
"2792","19-23825"
"2793","19-23826"
"2794","19-23828"
"2795","19-23829"
"2796","19-23836"
"2797","19-23845"
"2798","19-23871"
"2799","19-23833"
"2800","19-23851"
"2801","19-23853"
"2802","19-23855"
"2803","19-23904"
"2804","19-23908"
"2805","19-23912"
"2806","19-23921"
"2807","19-23937"
"2808","19-23944"
"2809","19-23951"
"2810","19-24004"
"2811","19-24047"
"2812","19-24048"
"2813","19-24049"
"2814","19-24061"
"2815","19-24068"
"2816","19-24072"
"2817","19-24073"
"2818","19-24076"
"2819","19-24051"
"2820","19-24053"
"2821","19-24057"
"2822","19-24070"
"2823","19-24113"
"2824","19-24106"
"2825","19-24109"
"2826","19-24116"
"2827","19-24129"
"2828","19-24147"
"2829","19-24152"
"2830","19-24167"
"2831","19-24169"
"2832","19-24170"
"2833","19-24254"
"2834","19-24261"
"2835","19-24267"
"2836","19-24268"
"2837","19-24272"
"2838","19-24275"
