"","pvals.germplasmName","pvals.predicted.value","pvals.std.error","pvals.status","avsed","trait","study"
"1","07-19334",59.4912633242494,0.672192415908623,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"2","12-26004",57.1680640974045,0.670515406316283,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"3","16-8048",60.5272471649308,0.68147995036043,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"4","17-8930",56.948609009364,0.682972392775656,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"5","18-12001",57.7452604009842,0.674503702444417,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"6","18-12756",58.2185869540343,0.636224735352562,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"7","18-12809",57.6541021473072,0.688139492174566,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"8","18-13748",60.6639979999551,0.68650968579948,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"9","18-13756",59.8749852658899,0.681519084119793,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"10","18-13765",60.1873298119999,0.688795334981796,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"11","18-13852",59.1126302726737,0.674175030796823,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"12","18-13965",58.6521168783187,0.665200406719554,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"13","18-14535",58.9647578823924,0.687669886276094,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"14","18-15372",59.2073866155072,0.671982471090207,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"15","18-16828",58.6472672382722,0.679029274226699,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"16","18-17119",59.8675200264583,0.679392559076908,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"17","18-17905",59.3948146697472,0.669333030505754,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"18","18-22132",60.9854539373156,0.684670393714713,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"19","18-22767",58.2270134292792,0.649191246956822,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"20","18-22976",60.7050806701364,0.649569691134435,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"21","18-23224",58.8356557673883,0.675404822648441,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"22","18-23760",59.1503363702687,0.676332491950915,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"23","18-26037",59.8358210509135,0.656559027571656,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"24","18-4910",59.0965483318731,0.656932132642006,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"25","18-5737",58.2886744800987,0.689029189362328,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"26","18-5837",60.1666581751141,0.669033653689712,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"27","18-6274",61.5773346178243,0.671242889434489,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"28","18-6852",57.5334455634611,0.691245687700462,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"29","18-7928",59.4771381242495,0.682560260252964,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"30","18-7943",59.1005018851289,0.675253633882298,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"31","18-842",58.9262742341092,0.666883665951624,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"32","18-9724",60.5266842498254,0.691738604453653,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"33","18MSFRS-18",59.8503601309491,0.671025623712401,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"34","19-10123",60.958349855058,0.911987221067298,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"35","19-10136",62.4068977732651,0.654997400355135,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"36","19-10142",60.5070473924113,0.912803934852646,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"37","19-10151",59.9678784822378,0.685507304679904,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"38","19-10168",60.6893606565576,0.662330074033931,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"39","19-10173",61.1865481772791,0.922117285919915,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"40","19-10236",60.3229619350422,0.925064594263317,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"41","19-11163",58.2102269654576,0.916376452844501,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"42","19-11770",59.8213701355586,0.663065002493011,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
"43","19-11773",60.1997048887313,0.671600460661241,"Estimable",1.18665487839651,"Grain.test.weight...lbs.bu","YT_Blk_22"
